iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,2,1.90735e-06,0.00012207,0.000120163,1,0.015625,7.93725,0.521216
20,1,20,15,1.43051e-05,0.000427246,0.000412941,3,0.046875,4.93108,0.524288
30,2,6,67,6.38962e-05,0.00256348,0.00249958,4,0.0625,5.34101,0.881664
40,2,16,65,6.19888e-05,0.00164795,0.00158596,4,0.0625,4.6979,0.616448
50,3,2,107,0.000102043,0.00219727,0.00209522,4,0.0625,4.01385,0.763904
60,3,12,143,0.000136375,0.0032959,0.00315952,4,0.0625,4.08027,0.677888
70,3,22,178,0.000169754,0.00335693,0.00318718,4,0.0625,3.98227,0.673792
80,4,8,299,0.000285149,0.00592041,0.00563526,4,0.0625,3.96909,0.659456
90,4,18,320,0.000305176,0.00708008,0.0067749,4,0.0625,4.12538,0.933888
100,5,4,337,0.000321388,0.00665283,0.00633144,4,0.0625,4.03425,0.862208
110,5,14,337,0.000321388,0.00646973,0.00614834,4,0.0625,3.95852,1.18579
120,5,24,359,0.000342369,0.00726318,0.00692081,4,0.0625,4.0575,0.791552
130,6,10,302,0.00028801,0.00671387,0.00642586,4,0.0625,4.28672,0.978944
140,6,20,344,0.000328064,0.00732422,0.00699615,4,0.0625,4.22367,0.669696
150,7,6,432,0.000411987,0.0100708,0.00965881,4,0.0625,4.25096,1.05062
160,7,16,437,0.000416756,0.00927734,0.00886059,4,0.0625,4.13273,0.818176
170,8,2,507,0.000483513,0.0122681,0.0117846,4,0.0625,4.14995,0.984064
180,8,12,596,0.00056839,0.0117188,0.0111504,4,0.0625,3.96416,1.32406
190,8,22,708,0.000675201,0.0148926,0.0142174,4,0.0625,3.98227,1.28102
200,9,8,758,0.000722885,0.0183105,0.0175877,4,0.0625,4.10618,1.33222
210,9,18,801,0.000763893,0.0198975,0.0191336,4,0.0625,4.13734,1.19917
220,10,4,898,0.0008564,0.0249023,0.0240459,4,0.0625,4.37842,1.49402
230,10,14,907,0.000864983,0.0236816,0.0228167,4,0.0625,4.24969,0.974848
240,10,24,894,0.000852585,0.0233154,0.0224628,4,0.0625,4.23067,1.06803
250,11,10,936,0.000892639,0.0244141,0.0235214,4,0.0625,4.21387,0.833536
260,11,20,954,0.000909805,0.0271606,0.0262508,4,0.0625,4.36361,0.968704
270,12,6,1014,0.000967026,0.0272827,0.0263157,4,0.0625,4.28286,0.87648
280,12,16,1059,0.00100994,0.0322266,0.0312166,4,0.0625,4.51088,0.954368
290,13,2,1196,0.00114059,0.0286865,0.0275459,4,0.0625,4.13529,1.02195
300,13,12,1141,0.00108814,0.0259399,0.0248518,4,0.0625,4.06509,1.09363
310,13,22,1326,0.00126457,0.0283813,0.0271168,4,0.0625,4.01609,1.3865
320,14,8,1308,0.00124741,0.0261841,0.0249367,4,0.0625,3.95513,1.45715
330,14,18,1364,0.00130081,0.0283203,0.0270195,4,0.0625,3.99879,1.08032
340,15,4,1307,0.00124645,0.0297241,0.0284777,4,0.0625,4.08136,0.848896
350,15,14,1455,0.0013876,0.0355835,0.0341959,4,0.0625,4.16475,1.1817
360,15,24,1355,0.00129223,0.0340576,0.0327654,4,0.0625,4.20091,1.16838
370,16,10,1343,0.00128078,0.0369263,0.0356455,4,0.0625,4.32163,1.05674
380,16,20,1385,0.00132084,0.0397339,0.038413,4,0.0625,4.44188,1.11514
390,17,6,1373,0.00130939,0.0411987,0.0398893,4,0.0625,4.58566,1.0711
400,17,16,1490,0.00142097,0.0445557,0.0431347,4,0.0625,4.58467,1.31379
410,18,2,1555,0.00148296,0.0460205,0.0445375,4,0.0625,4.57748,1.05574
420,18,12,1753,0.00167179,0.050293,0.0486212,4,0.0625,4.51682,1.42336
430,18,22,1696,0.00161743,0.0452881,0.0436707,4,0.0625,4.36717,1.13766
440,19,8,2013,0.00191975,0.0515137,0.0495939,4,0.0625,4.25245,1.448
450,19,18,2134,0.00203514,0.0559082,0.0538731,4,0.0625,4.24402,1.27488
460,20,4,2197,0.00209522,0.053894,0.0517988,4,0.0625,4.1345,1.30253
470,20,14,2206,0.00210381,0.0505371,0.0484333,4,0.0625,4.05471,1.53293
480,20,24,2363,0.00225353,0.0596924,0.0574389,4,0.0625,4.1595,1.50938
490,21,10,2393,0.00228214,0.0692139,0.0669317,4,0.0625,4.39789,1.51962
500,21,20,2622,0.00250053,0.0700684,0.0675678,4,0.0625,4.24752,1.52576
510,22,6,2421,0.00230885,0.0628052,0.0604963,4,0.0625,4.20933,1.57798
520,22,16,2369,0.00225925,0.0588989,0.0566397,4,0.0625,4.14849,1.55238
530,23,2,2750,0.0026226,0.0703735,0.0677509,4,0.0625,4.19222,1.51245
540,23,12,2840,0.00270844,0.0638428,0.0611343,4,0.0625,4.04104,1.11821
550,23,22,2676,0.00255203,0.0626221,0.06007,4,0.0625,4.10628,1.50323
560,24,8,2560,0.00244141,0.0610962,0.0586548,4,0.0625,4.11321,1.46941
570,24,18,2481,0.00236607,0.0634155,0.0610495,4,0.0625,4.18654,0.964608
580,25,4,2539,0.00242138,0.0605469,0.0581255,4,0.0625,4.10091,1.3568
590,25,14,2715,0.00258923,0.0641479,0.0615587,4,0.0625,4.10683,1.38138
600,25,24,2958,0.00282097,0.0671997,0.0643787,4,0.0625,4.08671,1.06394
610,26,10,2960,0.00282288,0.0644531,0.0616302,4,0.0625,4.10019,1.4848
620,26,20,3221,0.00307178,0.0678711,0.0647993,4,0.0625,4.0873,1.51347
630,27,6,3138,0.00299263,0.0643921,0.0613995,4,0.0625,4.07472,1.31482
640,27,16,3176,0.00302887,0.0699463,0.0669174,4,0.0625,4.11553,1.51757
650,28,2,3218,0.00306892,0.0715332,0.0684643,4,0.0625,4.15182,1.06598
660,28,12,3365,0.00320911,0.0857544,0.0825453,4,0.0625,4.27127,1.5831
670,28,22,3259,0.00310802,0.0782471,0.075139,4,0.0625,4.20073,1.3353
680,29,8,3550,0.00338554,0.0838013,0.0804157,4,0.0625,4.18437,1.55443
690,29,18,3588,0.00342178,0.0844116,0.0809898,4,0.0625,4.23665,1.54317
700,30,4,3647,0.00347805,0.0934448,0.0899668,4,0.0625,4.29857,1.36192
710,30,14,3497,0.003335,0.0910034,0.0876684,4,0.0625,4.2929,1.5657
720,30,24,3423,0.00326443,0.0846558,0.0813913,4,0.0625,4.20989,1.57389
730,31,10,3535,0.00337124,0.0783691,0.0749979,4,0.0625,4.10978,1.35782
740,31,20,3602,0.00343513,0.0741577,0.0707226,4,0.0625,4.07128,1.46432
750,32,6,3738,0.00356483,0.0762939,0.0727291,4,0.0625,4.04602,1.57184
760,32,16,3872,0.00369263,0.0777588,0.0740662,4,0.0625,4.02397,1.3312
770,33,2,4250,0.00405312,0.0950928,0.0910397,4,0.0625,4.09799,1.4807
780,33,12,4336,0.00413513,0.0963745,0.0922394,4,0.0625,4.07555,1.22368
790,33,22,4097,0.0039072,0.0894775,0.0855703,4,0.0625,4.06477,1.06669
800,34,8,4601,0.00438786,0.102905,0.0985174,4,0.0625,4.07782,1.31789
810,34,18,4677,0.00446033,0.106934,0.102473,4,0.0625,4.14254,1.33011
820,35,4,4686,0.00446892,0.106689,0.102221,4,0.0625,4.10225,1.43462
830,35,14,4875,0.00464916,0.104736,0.100087,4,0.0625,4.02767,1.55238
840,35,24,5158,0.00491905,0.113037,0.108118,4,0.0625,4.06297,1.24723
850,36,10,5495,0.00524044,0.115845,0.110604,4,0.0625,4.06564,1.1991
860,36,20,5738,0.00547218,0.116089,0.110617,4,0.0625,4.0352,1.25952
870,37,6,5877,0.00560474,0.121216,0.115611,4,0.0625,4.01963,1.56058
880,37,16,5756,0.00548935,0.120361,0.114872,4,0.0625,4.02059,1.50835
890,38,2,5925,0.00565052,0.127747,0.122096,4,0.0625,4.04631,1.62509
900,38,12,6270,0.00597954,0.129578,0.123598,4,0.0625,4.05928,1.6384
910,38,22,6559,0.00625515,0.133667,0.127412,4,0.0625,4.06481,1.55546
920,39,8,6882,0.00656319,0.144775,0.138212,4,0.0625,4.0703,1.66291
930,39,18,7056,0.00672913,0.147705,0.140976,4,0.0625,4.07237,1.44077
940,40,4,7361,0.00702,0.153748,0.146728,4,0.0625,4.06281,1.48582
950,40,14,7677,0.00732136,0.163147,0.155826,4,0.0625,4.06436,1.50426
960,40,24,8072,0.00769806,0.16333,0.155632,4,0.0625,4.02724,1.58925
970,41,10,8319,0.00793362,0.163147,0.155213,4,0.0625,4.01562,1.73875
980,41,20,8388,0.00799942,0.164062,0.156063,4,0.0625,3.97652,1.45715
990,42,6,8902,0.00848961,0.177856,0.169367,4,0.0625,3.96942,1.83296
1000,42,16,8880,0.00846863,0.1651,0.156631,5,0.078125,3.93353,1.33325
1010,43,2,9374,0.00893974,0.17395,0.16501,5,0.078125,3.93828,1.88928
1020,43,12,9619,0.00917339,0.184387,0.175214,5,0.078125,3.93627,1.53395
1030,43,22,10318,0.00984001,0.196533,0.186693,7,0.109375,3.93012,1.69574
1040,44,8,10667,0.0101728,0.205261,0.195088,7,0.109375,3.93907,1.53907
1050,44,18,10458,0.00997353,0.195312,0.185339,8,0.125,3.92001,1.96301
1060,45,4,10367,0.00988674,0.196594,0.186707,7,0.109375,3.92058,1.54112
1070,45,14,10689,0.0101938,0.202332,0.192138,8,0.125,3.92131,1.90362
1080,45,24,11176,0.0106583,0.195923,0.185265,8,0.125,3.90261,1.78381
1090,46,10,11411,0.0108824,0.20813,0.197248,8,0.125,3.90728,1.97939
1100,46,20,11011,0.0105009,0.203003,0.192502,7,0.109375,3.91614,2.0736
1110,47,6,11754,0.0112095,0.212463,0.201254,7,0.109375,3.91353,1.95686
1120,47,16,11713,0.0111704,0.212097,0.200927,7,0.109375,3.91043,1.99482
1130,48,2,12008,0.0114517,0.214661,0.203209,7,0.109375,3.89393,2.1801
1140,48,12,11798,0.0112514,0.211609,0.200357,7,0.109375,3.89045,1.65786
1150,48,22,12146,0.0115833,0.209167,0.197584,7,0.109375,3.87201,1.65581
1160,49,8,12759,0.0121679,0.209229,0.197061,7,0.109375,3.8749,1.97734
1170,49,18,13376,0.0127563,0.222412,0.209656,8,0.125,3.87859,2.19232
1180,50,4,13769,0.0131311,0.224854,0.211722,8,0.125,3.84855,1.99578
1190,50,14,13507,0.0128813,0.22229,0.209409,7,0.109375,3.84872,2.0695
1200,50,24,13481,0.0128565,0.221069,0.208213,7,0.109375,3.81967,2.17702
1210,51,10,13737,0.0131006,0.228088,0.214988,8,0.125,3.80236,2.09408
1220,51,20,13519,0.0128927,0.226685,0.213792,8,0.125,3.78167,2.16678
1230,52,6,13660,0.0130272,0.229126,0.216099,9,0.140625,3.78281,2.03981
1240,52,16,14116,0.0134621,0.235962,0.2225,10,0.15625,3.73945,2.18931
1250,53,2,14272,0.0136108,0.250061,0.23645,9,0.140625,3.75455,1.94048
1260,53,12,14420,0.013752,0.248657,0.234905,9,0.140625,3.72209,2.13402
1270,53,22,14908,0.0142174,0.248047,0.233829,10,0.15625,3.71235,2.01728
1280,54,8,14854,0.0141659,0.230164,0.215998,9,0.140625,3.69594,1.96915
1290,54,18,15229,0.0145235,0.238159,0.223636,9,0.140625,3.70307,1.97632
1300,55,4,15576,0.0148544,0.241028,0.226173,9,0.140625,3.69597,2.12582
1310,55,14,15828,0.0150948,0.244873,0.229778,10,0.15625,3.70169,1.95789
1320,55,24,16070,0.0153255,0.245483,0.230158,10,0.15625,3.67851,2.18931
1330,56,10,16515,0.0157499,0.254395,0.238645,10,0.15625,3.67852,2.16269
1340,56,20,16551,0.0157843,0.255554,0.23977,11,0.171875,3.66602,2.24666
1350,57,6,16894,0.0161114,0.262024,0.245913,11,0.171875,3.68272,2.3081
1360,57,16,17066,0.0162754,0.259216,0.242941,11,0.171875,3.65766,2.07462
1370,58,2,17465,0.0166559,0.273804,0.257148,11,0.171875,3.62264,2.42381
1380,58,12,17406,0.0165997,0.287415,0.270815,12,0.1875,3.59774,2.14118
1390,58,22,17372,0.0165672,0.289612,0.273045,12,0.1875,3.58101,2.40026
1400,59,8,17796,0.0169716,0.296753,0.279781,12,0.1875,3.57913,2.35622
1410,59,18,17992,0.0171585,0.28656,0.269402,12,0.1875,3.58747,2.47603
1420,60,4,18526,0.0176678,0.299133,0.281466,12,0.1875,3.57214,2.33882
1430,60,14,19034,0.0181522,0.295715,0.277563,12,0.1875,3.52724,2.49856
1440,60,24,19319,0.018424,0.296997,0.278573,12,0.1875,3.50663,2.21286
1450,61,10,19846,0.0189266,0.289307,0.27038,12,0.1875,3.46755,2.34906
1460,61,20,20165,0.0192308,0.282837,0.263606,12,0.1875,3.45051,2.41971
1470,62,6,20801,0.0198374,0.293396,0.273559,12,0.1875,3.37197,2.31216
1480,62,16,20745,0.019784,0.285095,0.265311,12,0.1875,3.32589,2.27328
1490,63,2,21609,0.0206079,0.300293,0.279685,12,0.1875,3.33079,2.77811
1500,63,12,22023,0.0210028,0.305664,0.284661,12,0.1875,3.31522,2.53338
1510,63,22,22315,0.0212812,0.320068,0.298787,12,0.1875,3.30791,2.9399
1520,64,8,22585,0.0215387,0.319031,0.297492,12,0.1875,3.25367,2.53235
1530,64,18,23446,0.0223598,0.320007,0.297647,12,0.1875,3.2125,2.89587
1540,65,4,23707,0.0226088,0.324097,0.301488,12,0.1875,3.19953,2.69926
