horizon_iterations,model,fold,R2,MAE_ms,RMSE_ms,baseline_MAE_ms,baseline_RMSE_ms,MAE_improvement,RMSE_improvement
20,H,1,-3.543434168041906,0.6650531459364336,0.7593030039179638,0.6401710208651513,0.7326079239331806,-0.02488212507128229,-0.026695079984783154
20,Spatial_residual,1,-6.589455284285381,0.8170500471842682,0.9813598850838997,0.6401710208651513,0.7326079239331806,-0.1768790263191169,-0.24875196115071907
20,H,2,-3.0470517692262478,0.21395870267294909,0.245044158518427,0.20975937830295818,0.24086794315812257,-0.004199324369990903,-0.004176215360304436
20,Spatial_residual,2,0.43470169778267276,0.07193279287947979,0.09158277836882928,0.20975937830295818,0.24086794315812257,0.1378265854234784,0.1492851647892933
20,H,3,-0.3286283132936738,0.16880401129827105,0.21061386495088488,0.17839971488868356,0.22395525031431962,0.009595703590412508,0.013341385363434738
20,Spatial_residual,3,-2.552345017394129,0.2752182164203929,0.34438384938774746,0.17839971488868356,0.22395525031431962,-0.09681850153170934,-0.12042859907342784
20,H,4,-3.2979800594016133,0.9060176015810041,1.0338700901026259,0.8944940696982415,1.0241166548769793,-0.011523531882762561,-0.009753435225646534
20,Spatial_residual,4,-2.8256631892056467,0.8470586292263761,0.9754098553677272,0.8944940696982415,1.0241166548769793,0.04743544047186543,0.04870679950925216
20,H,5,-9.167141799099577,2.1335329889420915,2.24294224188376,2.0764665546521908,2.1923781657182926,-0.05706643428990077,-0.05056407616546732
20,Spatial_residual,5,-4.167984044668111,1.500951661545722,1.5991132874782186,2.0764665546521908,2.1923781657182926,0.5755148931064689,0.593264878240074
50,H,1,-2.694342509793577,0.638312120796006,0.7276229346319336,0.7046792307438358,0.7999265736149677,0.0663671099478298,0.07230363898303405
50,Spatial_residual,1,-6.068645756663075,0.8510995313420403,1.006481762213275,0.7046792307438358,0.7999265736149677,-0.14642030059820454,-0.20655518859830724
50,H,2,-3.021790841696836,0.2115195607808715,0.2418709930132256,0.21389847904384293,0.24424493950420542,0.00237891826297143,0.002373946490979828
50,Spatial_residual,2,0.03600347578013052,0.09926773061446337,0.118416380191467,0.21389847904384293,0.24424493950420542,0.11463074842937956,0.12582855931273842
50,H,3,-0.3784077675622912,0.17390393945323218,0.21732595065672636,0.18235981379478766,0.22919983483802592,0.00845587434155548,0.01187388418129956
50,Spatial_residual,3,-1.9437695646617748,0.24960860093761839,0.31759571741327397,0.18235981379478766,0.22919983483802592,-0.06724878714283072,-0.08839588257524805
50,H,4,-3.472333507672859,0.940462459583965,1.066782056245818,0.9267842501317898,1.055171880910187,-0.013678209452175238,-0.011610175335630801
50,Spatial_residual,4,-2.996349478515853,0.8803654081762549,1.0084174240407313,0.9267842501317898,1.055171880910187,0.04641884195553492,0.046754456869455785
50,H,5,-9.623786414062605,2.2227203956727566,2.3315811667695048,2.1650181858750077,2.280134031780434,-0.05770220979774887,-0.05144713498907061
50,Spatial_residual,5,-4.710737161942646,1.6095373778764457,1.7094521914371625,2.1650181858750077,2.280134031780434,0.555480807998562,0.5706818403432716
120,H,1,-3.072739378526337,0.4657335330013084,0.5248686624148304,0.5062527029169037,0.5691515818885247,0.04051916991559534,0.04428291947369423
120,Spatial_residual,1,-4.732082578671515,0.5862945788884972,0.6226780448007257,0.5062527029169037,0.5691515818885247,-0.08004187597159351,-0.05352646291220109
120,H,2,-2.6354080639228576,0.17388016146008545,0.20204234478906813,0.18037312328594146,0.20815492094479762,0.006492961825856014,0.006112576155729493
120,Spatial_residual,2,-0.9685874485289938,0.11304987625188531,0.1486767889436146,0.18037312328594146,0.20815492094479762,0.06732324703405615,0.059478132001183015
120,H,3,-0.773449633105137,0.21456571920451264,0.2726520609280514,0.22299657020045466,0.2830593742260327,0.008430850995942013,0.010407313297981335
120,Spatial_residual,3,-2.4011680839538596,0.3020584223441056,0.37758384350471524,0.22299657020045466,0.2830593742260327,-0.07906185214365097,-0.09452446927868252
120,H,4,-3.8519027541619675,1.0510697186227682,1.1789534159080906,1.0335903230013859,1.1639503043168327,-0.017479395621382343,-0.01500311159125789
120,Spatial_residual,4,-3.4681133309165064,1.0021999470021594,1.131364875150631,1.0335903230013859,1.1639503043168327,0.03139037599922645,0.03258542916620155
120,H,5,-10.652253069490556,2.3865032381762052,2.493270550693221,2.327738003171816,2.439642890643964,-0.05876523500438946,-0.05362766004925712
120,Spatial_residual,5,-5.428471739120725,1.7529788573456782,1.851903373179124,2.327738003171816,2.439642890643964,0.5747591458261376,0.5877395174648401
