,N,H,regional_cv,active_fraction,T
N,1.0,0.6954040283232638,-0.984976221524343,0.992501668026777,0.9963522076314704
H,0.6954040283232638,1.0,-0.6790330172300713,0.6834727022005419,0.6930226791990974
regional_cv,-0.984976221524343,-0.6790330172300713,1.0,-0.9845474937871298,-0.981379476374421
active_fraction,0.992501668026777,0.6834727022005419,-0.9845474937871298,1.0,0.9913720823981128
T,0.9963522076314704,0.6930226791990974,-0.981379476374421,0.9913720823981128,1.0
