,count,mean,std,min,25%,50%,75%,max
N,360.0,43762.03055555555,42629.775110394985,16.0,6220.0,29013.0,74695.75,143972.0
H,360.0,0.2221433100111111,0.11131091412919211,0.000534058,0.15435174999999998,0.2633705,0.3085755,0.354347
regional_cv,360.0,2.9127080000000003,1.2223916187881256,1.11324,1.758255,2.879835,4.1256625,5.43197
active_fraction,360.0,0.25047743055555555,0.1809676714364982,0.046875,0.09375,0.203125,0.39453125,0.671875
T,360.0,4.456482149999999,4.00636108990447,0.540672,1.3301775,2.614785,6.62758,15.061
