horizon_iterations,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,baseline_MAE_mean,baseline_RMSE_mean,MAE_improvement_mean,RMSE_improvement_mean
20,H,-3.8768472218126036,3.2292369875296654,0.81747329008615,0.7981363944930124,0.8983546718747324,0.8284650826576769,0.799858147681445,0.8827851876001789,-0.017615142404704805,-0.015569484274553342
20,Spatial_residual,-3.140149167554119,2.558228443691745,0.7024422694512478,0.5594034043133616,0.7983699311372845,0.5940685613803104,0.799858147681445,0.8827851876001789,0.09741587823019729,0.08441525646289452
50,H,-3.8381322081576337,3.4478966263910023,0.8373836952573661,0.8368577833355781,0.9170366202634416,0.8667008075647794,0.8385479919178527,0.921735452129564,0.001164296660486519,0.004698831866122405
50,Spatial_residual,-3.1366996972006436,2.3760643691225547,0.7379757297893645,0.5998211988080331,0.8320726950591819,0.6335026959468781,0.8385479919178527,0.921735452129564,0.10057226212848824,0.08966275707038211
120,H,-4.197150579841371,3.781950972096421,0.8583504740929759,0.9232413091280756,0.9343574069466524,0.9528716787238963,0.8541901445153004,0.9327918144040304,-0.004160329577675687,-0.0015655925426219907
120,Spatial_residual,-3.3996846362383195,1.7890788630851209,0.7513163363664652,0.6524414379620731,0.8264413851157622,0.6795049784732551,0.8541901445153004,0.9327918144040304,0.10287380814883515,0.10635042928826821
