horizon_iterations,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,baseline_MAE_mean,baseline_RMSE_mean,MAE_improvement_mean,RMSE_improvement_mean
20,N,-0.435213599823849,0.9502221137126501,0.15490886768473644,0.06670595846697557,0.19213387996421333,0.08493003474219166,0.1576789898305085,0.20310994034938804,0.0027701221457720583,0.010976060385174685
20,N+H,-0.7040975158142465,1.3759771325658834,0.16072762840242083,0.06377228932529559,0.20024594408414398,0.07897225927240327,0.1576789898305085,0.20310994034938804,-0.003048638571912346,0.002863996265244051
20,Spatial,-0.14075586757661837,0.20858889222689256,0.14714005517383216,0.07168413317793222,0.18468391895157799,0.0915654114346404,0.1576789898305085,0.20310994034938804,0.010538934656676324,0.01842602139781004
50,N,-4.31618022000354,9.603442936220878,0.26478727563529164,0.16135645896558615,0.32292888717479373,0.1843391813274932,0.27400951864406775,0.3332081342123215,0.009222243008776165,0.010279247037527727
50,N+H,-1.3851565803270947,2.497827720903177,0.21937841370799718,0.09063286497609917,0.28280602945960104,0.12276119989469851,0.27400951864406775,0.3332081342123215,0.05463110493607062,0.050402104752720375
50,Spatial,-0.3042020821139459,0.42034432840657976,0.1994448652122189,0.1058205586756893,0.2528679696542386,0.14023238760033332,0.27400951864406775,0.3332081342123215,0.07456465343184887,0.08034016455808284
120,N,-4.652998538746575,10.163676902313066,0.2862728108058974,0.16961242667607696,0.3450072377250687,0.19625783478206973,0.5534547586206896,0.6074775065096741,0.26718194781479226,0.26247026878460544
120,N+H,-1.6878307055029196,2.4418304482641897,0.26352629821611384,0.13758495413368418,0.3189761628650273,0.16205048355693652,0.5534547586206896,0.6074775065096741,0.2899284604045758,0.2885013436446469
120,Spatial,-6.68007392140929,13.854392712801326,0.31528239580908385,0.16608809736768365,0.38086733719951243,0.19969940286111743,0.5534547586206896,0.6074775065096741,0.23817236281160584,0.2266101693101617
