,N,H,regional_cv,active_fraction,T
N,1.0,0.5935009152054975,-0.931800522578538,0.9948707241573361,0.9899148670979357
H,0.5935009152054975,1.0,-0.8028994370984703,0.6241367459683518,0.5012840577369332
regional_cv,-0.931800522578538,-0.8028994370984703,1.0,-0.943230610190246,-0.8774867511461413
active_fraction,0.9948707241573361,0.6241367459683518,-0.943230610190246,1.0,0.9781436340747885
T,0.9899148670979357,0.5012840577369332,-0.8774867511461413,0.9781436340747885,1.0
