horizon_iterations,N,N+H,Spatial,delta_R2_N_H,delta_R2_spatial
20,-2.600617861373559,-1.1200481056551108,-5.269866991923274,1.480569755718448,-2.669249130549715
50,-2.47443099110317,-4.622864970441978,-7.9037791026981505,-2.148433979338808,-5.42934811159498
120,-3.1930428229992827,-1.6774080255294763,-1.081648240573157,1.5156347974698063,2.1113945824261258
