predictor,lag_samples,lag_iterations,pearson_r
N,0,0,0.9899148670979352
N,1,10,0.989951095300781
N,2,20,0.9899869641047037
N,3,30,0.9900403047986545
N,4,40,0.9900753385768704
N,5,50,0.9901535917293544
N,6,60,0.9902296069368681
N,7,70,0.9902797071269254
N,8,80,0.9903743348958155
N,9,90,0.9905147356715878
N,10,100,0.9906553920330925
N,11,110,0.9908014993735094
N,12,120,0.9909145183273781
N,13,130,0.9910496590051653
N,14,140,0.9911900538630429
N,15,150,0.9913387042484941
N,16,160,0.9914683678399443
N,17,170,0.9915627618180387
N,18,180,0.9915885129612422
N,19,190,0.9916160047733468
N,20,200,0.9916563420819791
N,21,210,0.9916670182323618
N,22,220,0.9917327728956437
N,23,230,0.9918545893849743
N,24,240,0.9919774453398927
N,25,250,0.99208289414202
N,26,260,0.992185936573122
N,27,270,0.9922695835535074
N,28,280,0.9923280180447552
N,29,290,0.992381590969051
N,30,300,0.9924978854748897
H,0,0,0.5012840577369327
H,1,10,0.5054288868178445
H,2,20,0.5090833740446647
H,3,30,0.5130304086220245
H,4,40,0.5165107096109631
H,5,50,0.5200145148828479
H,6,60,0.5242591808693806
H,7,70,0.528143580101732
H,8,80,0.5323217412128609
H,9,90,0.5368339179984111
H,10,100,0.5412823515333716
H,11,110,0.5457174805520876
H,12,120,0.5500149011887513
H,13,130,0.5541386056142261
H,14,140,0.5575717311601581
H,15,150,0.562560567731926
H,16,160,0.5670129705235877
H,17,170,0.5711246801514043
H,18,180,0.575628913323288
H,19,190,0.5796423182044662
H,20,200,0.582561177633416
H,21,210,0.5864251546597145
H,22,220,0.5899458466139333
H,23,230,0.5936700569510877
H,24,240,0.5973213718570302
H,25,250,0.6006332489002031
H,26,260,0.6038873810765875
H,27,270,0.6071457397193032
H,28,280,0.6108824623703519
H,29,290,0.6146748857192891
H,30,300,0.6187243290161827
regional_cv,0,0,-0.8774867511461418
regional_cv,1,10,-0.8785763481207897
regional_cv,2,20,-0.8795755219290152
regional_cv,3,30,-0.8805917498137146
regional_cv,4,40,-0.8816537861372351
regional_cv,5,50,-0.882603916668191
regional_cv,6,60,-0.8835095782467342
regional_cv,7,70,-0.8844092228809985
regional_cv,8,80,-0.8851998053950307
regional_cv,9,90,-0.8860881474878113
regional_cv,10,100,-0.8869982109429991
regional_cv,11,110,-0.8877903007033391
regional_cv,12,120,-0.8883498902668403
regional_cv,13,130,-0.8893084377869598
regional_cv,14,140,-0.8896964994767216
regional_cv,15,150,-0.8910335034050476
regional_cv,16,160,-0.8918719635082054
regional_cv,17,170,-0.893014046819854
regional_cv,18,180,-0.8937198246449795
regional_cv,19,190,-0.894581421321357
regional_cv,20,200,-0.8953647831360435
regional_cv,21,210,-0.8962448707591001
regional_cv,22,220,-0.8972842481118632
regional_cv,23,230,-0.898460654269651
regional_cv,24,240,-0.8993982226197506
regional_cv,25,250,-0.9002604576202897
regional_cv,26,260,-0.9012295886090884
regional_cv,27,270,-0.9019555153646407
regional_cv,28,280,-0.9029819667213805
regional_cv,29,290,-0.9037785604067707
regional_cv,30,300,-0.9045665424075716
active_fraction,0,0,0.9781436340747887
active_fraction,1,10,0.9781692430544008
active_fraction,2,20,0.9780440304161329
active_fraction,3,30,0.9779783206839725
active_fraction,4,40,0.9779200456071815
active_fraction,5,50,0.9777451113915999
active_fraction,6,60,0.9778017165502002
active_fraction,7,70,0.9776504155817306
active_fraction,8,80,0.9774369293211176
active_fraction,9,90,0.9771842932097107
active_fraction,10,100,0.9771689397338463
active_fraction,11,110,0.9771275759094045
active_fraction,12,120,0.977069454780486
active_fraction,13,130,0.9771224351636008
active_fraction,14,140,0.9769148829468685
active_fraction,15,150,0.9771311140784694
active_fraction,16,160,0.9772563413759157
active_fraction,17,170,0.9774695029566141
active_fraction,18,180,0.9776507145952577
active_fraction,19,190,0.9777033433830927
active_fraction,20,200,0.9779867447114796
active_fraction,21,210,0.978394550220196
active_fraction,22,220,0.9786979460649449
active_fraction,23,230,0.9789839339249508
active_fraction,24,240,0.9792263021894282
active_fraction,25,250,0.9795971254860869
active_fraction,26,260,0.9799073062237317
active_fraction,27,270,0.9800097190288088
active_fraction,28,280,0.9803262116928392
active_fraction,29,290,0.9802923287997851
active_fraction,30,300,0.9803851428225804
