horizon_iterations,model,fold,R2,MAE_ms,RMSE_ms,baseline_MAE_ms,baseline_RMSE_ms,MAE_improvement,RMSE_improvement
20,N,1,-2.1349490752753355,0.12932256917500146,0.153231796257092,0.07011867796610169,0.08886227882153334,-0.05920389120889977,-0.06436951743555865
20,N,2,-0.003929304658134125,0.08994542023092006,0.10994024674752796,0.09341000000000002,0.11421965060682757,0.003464579769079962,0.004279403859299605
20,N,3,-0.025396441347916632,0.10855463817022212,0.1373282422727514,0.1205896610169491,0.15611900305074747,0.012035022846726973,0.018790760777996074
20,N,4,-0.0074991966860429304,0.19686776614803764,0.2476116720703939,0.21705169491525436,0.2836769219298484,0.020183928767216724,0.0360652498594545
20,N,5,-0.0042939811518158955,0.24985394469950092,0.31255744247330147,0.2872249152542373,0.37267184733798336,0.0373709705547364,0.06011440486468189
20,N+H,1,-3.157097879408033,0.136288682728515,0.17645288865978842,0.07011867796610169,0.08886227882153334,-0.0661700047624133,-0.08759060983825508
20,N+H,2,-0.28144801155509747,0.10088053323319664,0.1242097356180079,0.09341000000000002,0.11421965060682757,-0.007470533233196616,-0.00999008501118033
20,N+H,3,-0.07315835319820074,0.11525602384842931,0.14049014592492812,0.1205896610169491,0.15611900305074747,0.005333637168519784,0.01562885712581935
20,N+H,4,0.004213992198177974,0.197300156861949,0.24616809700608058,0.21705169491525436,0.2836769219298484,0.019751538053305373,0.03750882492376781
20,N+H,5,-0.012997327108079437,0.2539127453400143,0.31390885321191486,0.2872249152542373,0.37267184733798336,0.03331216991422303,0.0587629941260685
20,Spatial,1,-0.4991297219158377,0.08695865720797748,0.10596275827005394,0.07011867796610169,0.08886227882153334,-0.016839979241875788,-0.017100479448520597
20,Spatial,2,-0.1495426982297856,0.09586199605286806,0.11764343459281522,0.09341000000000002,0.11421965060682757,-0.0024519960528680412,-0.0034237839859876523
20,Spatial,3,-0.02053417691838466,0.1074508300228138,0.1370022611958588,0.1205896610169491,0.15611900305074747,0.013138830994135292,0.01911674185488868
20,Spatial,4,-0.034397589080167545,0.1971700904170487,0.25089528996715177,0.21705169491525436,0.2836769219298484,0.01988160449820567,0.03278163196269662
20,Spatial,5,-0.00017515173891635705,0.24825870216845283,0.3119158507320102,0.2872249152542373,0.37267184733798336,0.03896621308578449,0.06075599660597314
50,N,1,-21.495150969006914,0.48485959260321165,0.5463592877858492,0.10243657627118645,0.1266457905635147,-0.3824230163320252,-0.41971349722233453
50,N,2,0.018966329565614837,0.08001259628693923,0.10273465872627731,0.11095661016949153,0.13237633169573912,0.0309440138825523,0.02964167296946181
50,N,3,-0.09651826242829498,0.13636051832732743,0.17175124680140308,0.20907016949152535,0.24951720322471696,0.07270965116419792,0.07776595642331388
50,N,4,0.008129811077882354,0.2921142145749985,0.35377726644163254,0.41650644067796616,0.49673717362165193,0.12439222610296768,0.14295990718001939
50,N,5,-0.01632800922598432,0.3305894563839813,0.4400219761188065,0.5310777966101694,0.6607641719559846,0.2004883402261881,0.22074219583717808
