iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,34,3.24249e-05,0.000793457,0.000761032,4,0.0625,4.33821,0.540672
20,1,20,22,2.09808e-05,0.000610352,0.000589371,4,0.0625,4.30932,0.533504
30,2,6,29,2.76566e-05,0.0010376,0.00100994,4,0.0625,5.07061,0.648192
40,2,16,52,4.95911e-05,0.00134277,0.00129318,4,0.0625,4.36161,0.663552
50,3,2,74,7.05719e-05,0.00177002,0.00169945,4,0.0625,4.14272,0.848896
60,3,12,91,8.67844e-05,0.00189209,0.00180531,4,0.0625,4.05503,0.567296
70,3,22,73,6.96182e-05,0.00134277,0.00127316,4,0.0625,3.95999,0.637952
80,4,8,90,8.58307e-05,0.00299072,0.00290489,4,0.0625,4.92948,0.828416
90,4,18,207,0.000197411,0.00524902,0.00505161,4,0.0625,4.61694,0.702464
100,5,4,235,0.000224113,0.00640869,0.00618458,4,0.0625,4.73964,0.694272
110,5,14,263,0.000250816,0.00622559,0.00597477,4,0.0625,4.36141,1.04858
120,5,24,267,0.000254631,0.00640869,0.00615406,4,0.0625,4.34623,0.965568
130,6,10,289,0.000275612,0.00640869,0.00613308,4,0.0625,4.30269,1.15507
140,6,20,275,0.00026226,0.00561523,0.00535297,4,0.0625,4.08262,0.72704
150,7,6,301,0.000287056,0.00531006,0.005023,4,0.0625,3.89161,1.36806
160,7,16,255,0.000243187,0.00543213,0.00518894,4,0.0625,4.09228,0.831488
170,8,2,250,0.000238419,0.00512695,0.00488853,4,0.0625,4.06002,0.80384
180,8,12,287,0.000273705,0.00549316,0.00521946,4,0.0625,3.97445,0.712704
190,8,22,299,0.000285149,0.0055542,0.00526905,4,0.0625,3.95499,0.94208
200,9,8,321,0.000306129,0.00695801,0.00665188,4,0.0625,4.02961,1.25238
210,9,18,355,0.000338554,0.00616455,0.005826,4,0.0625,3.89552,0.93184
220,10,4,407,0.000388145,0.00842285,0.00803471,4,0.0625,3.97736,0.86016
230,10,14,368,0.000350952,0.00708008,0.00672913,4,0.0625,4.06481,0.713728
240,10,24,342,0.000326157,0.00799561,0.00766945,4,0.0625,4.33339,0.745472
250,11,10,352,0.000335693,0.00762939,0.0072937,4,0.0625,4.08168,0.657344
260,11,20,294,0.00028038,0.00610352,0.00582314,4,0.0625,4.1159,1.39264
270,12,6,367,0.000349998,0.0090332,0.0086832,4,0.0625,4.39163,1.04346
280,12,16,365,0.000348091,0.00897217,0.00862408,4,0.0625,4.33216,0.67584
290,13,2,395,0.000376701,0.0111084,0.0107317,4,0.0625,4.50955,0.7168
300,13,12,429,0.000409126,0.0127563,0.0123472,4,0.0625,4.6385,0.631808
310,13,22,464,0.000442505,0.013855,0.0134125,4,0.0625,4.61329,0.808
320,14,8,508,0.000484467,0.0154419,0.0149574,4,0.0625,4.64206,1.35987
330,14,18,525,0.000500679,0.0166016,0.0161009,4,0.0625,4.70283,1.13766
340,15,4,579,0.000552177,0.0196533,0.0191011,4,0.0625,4.88398,0.72704
350,15,14,690,0.000658035,0.0223999,0.0217419,4,0.0625,4.81489,1.26157
360,15,24,865,0.000824928,0.0249023,0.0240774,4,0.0625,4.55187,0.960512
370,16,10,866,0.000825882,0.0262451,0.0254192,4,0.0625,4.59976,1.07622
380,16,20,933,0.000889778,0.0270996,0.0262098,4,0.0625,4.55375,0.847872
390,17,6,992,0.000946045,0.0300903,0.0291443,4,0.0625,4.63957,1.10387
400,17,16,1113,0.00106144,0.0307617,0.0297003,4,0.0625,4.4517,1.09261
410,18,2,1213,0.00115681,0.0366821,0.0355253,4,0.0625,4.69888,0.99328
420,18,12,1310,0.00124931,0.0362549,0.0350056,4,0.0625,4.50334,1.03526
430,18,22,1309,0.00124836,0.0319214,0.030673,4,0.0625,4.27246,1.24518
440,19,8,1442,0.0013752,0.0393677,0.0379925,4,0.0625,4.45639,1.22778
450,19,18,1639,0.00156307,0.0422363,0.0406733,4,0.0625,4.43834,1.33939
460,20,4,1589,0.00151539,0.0386353,0.0371199,4,0.0625,4.3204,0.87552
470,20,14,1657,0.00158024,0.0427246,0.0411444,4,0.0625,4.35375,1.48275
480,20,24,1784,0.00170135,0.0462646,0.0445633,4,0.0625,4.38278,1.31789
490,21,10,1753,0.00167179,0.0426025,0.0409307,4,0.0625,4.29326,1.35069
500,21,20,1678,0.00160027,0.0406494,0.0390491,4,0.0625,4.31036,0.987136
510,22,6,1889,0.00180149,0.0430298,0.0412283,4,0.0625,4.18083,1.36192
520,22,16,1791,0.00170803,0.0348511,0.033143,4,0.0625,4.03836,1.06291
530,23,2,1793,0.00170994,0.038208,0.0364981,4,0.0625,4.13701,1.26566
540,23,12,1756,0.00167465,0.0365601,0.0348854,4,0.0625,4.07669,1.01478
550,23,22,1835,0.00174999,0.0415649,0.0398149,4,0.0625,4.14489,0.979968
560,24,8,1954,0.00186348,0.0375977,0.0357342,4,0.0625,3.97817,1.07315
570,24,18,2122,0.0020237,0.041748,0.0397243,4,0.0625,4.00529,1.38752
580,25,4,2334,0.00222588,0.0440063,0.0417805,4,0.0625,3.9447,1.47661
590,25,14,2237,0.00213337,0.0443115,0.0421782,4,0.0625,4.04522,1.34042
600,25,24,2238,0.00213432,0.0465088,0.0443745,4,0.0625,4.03374,1.46432
610,26,10,2369,0.00225925,0.0488892,0.0466299,4,0.0625,4.02248,1.38547
620,26,20,2308,0.00220108,0.0483398,0.0461388,4,0.0625,4.0112,1.40595
630,27,6,2538,0.00242043,0.0499878,0.0475674,4,0.0625,3.99871,1.07418
640,27,16,2654,0.00253105,0.053894,0.051363,4,0.0625,4.09045,1.33632
