iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,12,1.14441e-05,0.000549316,0.000537872,3,0.046875,6.101,0.55808
20,1,20,28,2.67029e-05,0.000610352,0.000583649,4,0.0625,4.07831,0.633856
30,2,6,32,3.05176e-05,0.000854492,0.000823975,4,0.0625,4.62331,0.572416
40,2,16,45,4.29153e-05,0.00189209,0.00184917,3,0.046875,5.72036,0.633856
50,3,2,81,7.72476e-05,0.00219727,0.00212002,4,0.0625,4.90705,0.654336
60,3,12,131,0.000124931,0.00421143,0.00408649,4,0.0625,4.68555,1.02912
70,3,22,145,0.000138283,0.0043335,0.00419521,4,0.0625,4.50204,0.772096
80,4,8,211,0.000201225,0.0057373,0.00553608,4,0.0625,4.28375,1.00762
90,4,18,206,0.000196457,0.00488281,0.00468636,4,0.0625,4.10163,0.601088
100,5,4,146,0.000139236,0.00305176,0.00291252,4,0.0625,4.19632,0.704512
110,5,14,134,0.000127792,0.003479,0.00335121,4,0.0625,4.31235,0.707584
120,5,24,211,0.000201225,0.00579834,0.00559711,4,0.0625,4.39473,1.31482
130,6,10,294,0.00028038,0.00769043,0.00741005,4,0.0625,4.33153,0.731136
140,6,20,261,0.000248909,0.00598145,0.00573254,4,0.0625,4.23705,0.714752
150,7,6,337,0.000321388,0.00671387,0.00639248,4,0.0625,4.05695,0.720896
160,7,16,332,0.00031662,0.00695801,0.00664139,4,0.0625,4.10048,1.40083
170,8,2,348,0.000331879,0.00897217,0.00864029,4,0.0625,4.40467,1.08749
180,8,12,348,0.000331879,0.00689697,0.00656509,4,0.0625,4.02172,0.692224
190,8,22,450,0.000429153,0.0102539,0.00982475,4,0.0625,4.05216,0.794624
200,9,8,471,0.000449181,0.0100708,0.00962162,4,0.0625,4.03206,0.714752
210,9,18,361,0.000344276,0.00750732,0.00716305,4,0.0625,4.10773,1.04038
220,10,4,420,0.000400543,0.00769043,0.00728989,4,0.0625,3.944,0.809984
230,10,14,439,0.000418663,0.00952148,0.00910282,4,0.0625,4.07018,0.745472
240,10,24,448,0.000427246,0.010498,0.0100708,4,0.0625,4.1759,0.96768
250,11,10,470,0.000448227,0.0117798,0.0113316,4,0.0625,4.2728,0.65536
260,11,20,509,0.00048542,0.0142822,0.0137968,4,0.0625,4.40821,0.729088
270,12,6,421,0.000401497,0.0144653,0.0140638,4,0.0625,4.91606,1.18579
280,12,16,540,0.000514984,0.0209961,0.0204811,4,0.0625,5.42367,0.888832
290,13,2,585,0.000557899,0.019104,0.0185461,4,0.0625,4.9539,0.807936
300,13,12,625,0.000596046,0.0166016,0.0160055,4,0.0625,4.5977,1.01171
310,13,22,704,0.000671387,0.0211182,0.0204468,4,0.0625,4.7423,1.2288
320,14,8,707,0.000674248,0.0224609,0.0217867,4,0.0625,4.95154,1.33222
330,14,18,724,0.00069046,0.0222168,0.0215263,4,0.0625,4.861,1.21958
340,15,4,673,0.000641823,0.0218506,0.0212088,4,0.0625,4.94205,0.745472
