iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,6,5.72205e-06,0.000366211,0.000360489,1,0.015625,7.93725,0.541696
20,1,20,17,1.62125e-05,0.000610352,0.000594139,2,0.03125,5.65655,0.5376
30,2,6,13,1.23978e-05,0.000366211,0.000353813,3,0.046875,4.70113,0.538624
40,2,16,17,1.62125e-05,0.000671387,0.000655174,3,0.046875,5.61726,0.574464
50,3,2,10,9.53674e-06,0.000305176,0.000295639,3,0.046875,4.82908,0.521216
60,3,12,24,2.28882e-05,0.000671387,0.000648499,3,0.046875,4.67856,0.515072
70,3,22,87,8.29697e-05,0.00201416,0.00193119,4,0.0625,4.10483,0.68608
80,4,8,122,0.000116348,0.00286865,0.0027523,4,0.0625,4.17692,0.950272
90,4,18,101,9.63211e-05,0.00244141,0.00234509,4,0.0625,4.21041,0.57856
100,5,4,123,0.000117302,0.00274658,0.00262928,4,0.0625,4.09736,0.582656
110,5,14,107,0.000102043,0.00280762,0.00270557,4,0.0625,4.25979,0.671744
120,5,24,141,0.000134468,0.00360107,0.00346661,4,0.0625,4.19105,0.683008
130,6,10,158,0.000150681,0.00323486,0.00308418,4,0.0625,4.01884,0.864256
140,6,20,201,0.000191689,0.00537109,0.00517941,4,0.0625,4.41983,0.837632
150,7,6,322,0.000307083,0.00775146,0.00744438,4,0.0625,4.20441,1.20832
160,7,16,415,0.000395775,0.0090332,0.00863743,4,0.0625,4.13771,1.06906
170,8,2,338,0.000322342,0.00701904,0.0066967,4,0.0625,4.05673,0.852992
180,8,12,322,0.000307083,0.00738525,0.00707817,4,0.0625,4.0999,0.692224
190,8,22,259,0.000247002,0.0055542,0.0053072,4,0.0625,4.22533,0.610304
200,9,8,319,0.000304222,0.00683594,0.00653172,4,0.0625,4.28091,0.85296
210,9,18,313,0.0002985,0.00671387,0.00641537,4,0.0625,4.11575,0.927744
220,10,4,331,0.000315666,0.00866699,0.00835133,4,0.0625,4.37329,0.758784
230,10,14,288,0.000274658,0.00732422,0.00704956,4,0.0625,4.52923,0.598016
240,10,24,324,0.00030899,0.00976562,0.00945663,4,0.0625,4.83256,0.698368
250,11,10,410,0.000391006,0.0117798,0.0113888,4,0.0625,4.69273,0.813056
260,11,20,409,0.000390053,0.013916,0.013526,4,0.0625,5.04915,0.749568
270,12,6,502,0.000478745,0.015625,0.0151463,4,0.0625,4.80674,0.897024
280,12,16,595,0.000567436,0.017334,0.0167665,4,0.0625,4.76629,1.20422
290,13,2,658,0.000627518,0.0183105,0.017683,4,0.0625,4.49547,1.0455
300,13,12,674,0.000642776,0.0171509,0.0165081,4,0.0625,4.35364,1.08032
310,13,22,797,0.000760078,0.0184326,0.0176725,4,0.0625,4.18958,1.03219
320,14,8,815,0.000777245,0.0189209,0.0181437,4,0.0625,4.33641,0.76288
330,14,18,793,0.000756264,0.0200806,0.0193243,4,0.0625,4.47002,0.83456
340,15,4,742,0.000707626,0.0175781,0.0168705,4,0.0625,4.30338,0.959488
350,15,14,902,0.000860214,0.0182495,0.0173893,4,0.0625,4.06634,1.06803
360,15,24,1006,0.000959396,0.0203857,0.0194263,4,0.0625,4.01531,1.024
370,16,10,1131,0.00107861,0.0234985,0.0224199,4,0.0625,4.02468,1.07008
380,16,20,1100,0.00104904,0.022644,0.021595,4,0.0625,4.08919,1.21344
390,17,6,1222,0.00116539,0.0283813,0.027216,4,0.0625,4.16683,1.0711
400,17,16,1344,0.00128174,0.0311279,0.0298462,4,0.0625,4.21202,1.07418
410,18,2,1403,0.00133801,0.0308838,0.0295458,4,0.0625,4.23344,1.09466
420,18,12,1792,0.00170898,0.0415649,0.039856,4,0.0625,4.26024,1.19194
430,18,22,1735,0.00165462,0.039978,0.0383234,4,0.0625,4.2153,1.15405
440,19,8,1642,0.00156593,0.0380859,0.03652,4,0.0625,4.23762,1.0281
450,19,18,1539,0.0014677,0.0349121,0.0334444,4,0.0625,4.28174,1.06803
460,20,4,1705,0.00162601,0.0385132,0.0368872,4,0.0625,4.26955,1.00864
470,20,14,1828,0.00174332,0.0463867,0.0446434,4,0.0625,4.39277,1.12435
480,20,24,1785,0.00170231,0.0454102,0.0437078,4,0.0625,4.4508,1.02605
490,21,10,1852,0.0017662,0.0462036,0.0444374,4,0.0625,4.33683,1.27386
500,21,20,1976,0.00188446,0.0466309,0.0447464,4,0.0625,4.30201,1.07315
510,22,6,2283,0.00217724,0.0576782,0.055501,4,0.0625,4.36581,1.15814
520,22,16,2284,0.00217819,0.0587158,0.0565376,4,0.0625,4.36028,1.22678
530,23,2,2412,0.00230026,0.0619507,0.0596504,4,0.0625,4.37044,1.17146
540,23,12,2538,0.00242043,0.0644531,0.0620327,4,0.0625,4.28337,1.26771
550,23,22,2759,0.00263119,0.0648193,0.0621881,4,0.0625,4.20676,1.24723
560,24,8,2852,0.00271988,0.069458,0.0667381,4,0.0625,4.27065,1.2288
570,24,18,2981,0.0028429,0.0756226,0.0727797,4,0.0625,4.30245,1.16736
580,25,4,2991,0.00285244,0.0795288,0.0766764,4,0.0625,4.41146,1.16326
590,25,14,2891,0.00275707,0.0725708,0.0698137,4,0.0625,4.25806,1.25338
600,25,24,3094,0.00295067,0.0830688,0.0801182,4,0.0625,4.32794,1.14176
610,26,10,3331,0.00317669,0.0866089,0.0834322,4,0.0625,4.31631,1.22061
620,26,20,3453,0.00329304,0.0908813,0.0875883,4,0.0625,4.32901,1.30253
630,27,6,3746,0.00357246,0.0947876,0.0912151,4,0.0625,4.26422,1.19706
