iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,12,1.14441e-05,0.000366211,0.000354767,3,0.046875,4.88763,0.514048
20,1,20,23,2.19345e-05,0.000488281,0.000466347,4,0.0625,4.09689,0.622592
30,2,6,26,2.47955e-05,0.000732422,0.000707626,4,0.0625,4.3453,0.524288
40,2,16,46,4.3869e-05,0.000976562,0.000932693,4,0.0625,4.0299,0.587776
50,3,2,44,4.19617e-05,0.00109863,0.00105667,4,0.0625,4.43036,0.560128
60,3,12,53,5.05447e-05,0.000915527,0.000864983,4,0.0625,3.91031,0.911392
70,3,22,45,4.29153e-05,0.00128174,0.00123882,3,0.046875,4.70141,0.594944
80,4,8,55,5.24521e-05,0.00158691,0.00153446,4,0.0625,4.86726,1.03219
90,4,18,31,2.95639e-05,0.00128174,0.00125217,3,0.046875,5.73568,0.605184
100,5,4,58,5.53131e-05,0.00189209,0.00183678,4,0.0625,4.80475,0.955392
110,5,14,61,5.81741e-05,0.00128174,0.00122356,4,0.0625,4.20667,0.602112
120,5,24,62,5.91278e-05,0.00128174,0.00122261,4,0.0625,4.14902,0.519168
130,6,10,88,8.39233e-05,0.00170898,0.00162506,4,0.0625,4.18281,0.613376
140,6,20,115,0.000109673,0.00299072,0.00288105,4,0.0625,4.37784,0.741376
150,7,6,105,0.000100136,0.00280762,0.00270748,4,0.0625,4.42216,1.00762
160,7,16,120,0.000114441,0.00280762,0.00269318,4,0.0625,4.50037,0.638976
170,8,2,171,0.000163078,0.00427246,0.00410938,4,0.0625,4.45111,0.8632
180,8,12,200,0.000190735,0.00488281,0.00469208,4,0.0625,4.25262,1.14893
190,8,22,239,0.000227928,0.00531006,0.00508213,4,0.0625,4.17143,0.723968
200,9,8,197,0.000187874,0.0057373,0.00554943,4,0.0625,4.57292,1.16429
210,9,18,245,0.00023365,0.00622559,0.00599194,4,0.0625,4.37491,1.37626
220,10,4,256,0.000244141,0.00622559,0.00598145,4,0.0625,4.18493,0.975872
230,10,14,283,0.00026989,0.00683594,0.00656605,4,0.0625,4.15688,0.9728
240,10,24,219,0.000208855,0.00445557,0.00424671,4,0.0625,4.08832,1.26464
250,11,10,252,0.000240326,0.00494385,0.00470352,4,0.0625,4.0133,1.2329
260,11,20,334,0.000318527,0.00634766,0.00602913,4,0.0625,4.02274,0.997376
270,12,6,361,0.000344276,0.00787354,0.00752926,4,0.0625,4.18002,1.06701
280,12,16,386,0.000368118,0.00897217,0.00860405,4,0.0625,4.18078,0.800768
290,13,2,442,0.000421524,0.00860596,0.00818443,4,0.0625,3.99042,0.915456
300,13,12,364,0.000347137,0.00646973,0.00612259,4,0.0625,3.94967,1.02298
310,13,22,402,0.000383377,0.00811768,0.0077343,4,0.0625,4.00742,0.661504
320,14,8,461,0.000439644,0.0090332,0.00859356,4,0.0625,4.12681,0.93184
330,14,18,463,0.000441551,0.0115356,0.0110941,4,0.0625,4.39738,0.718848
340,15,4,542,0.000516891,0.0125732,0.0120564,4,0.0625,4.20718,0.856064
350,15,14,600,0.000572205,0.0130005,0.0124283,4,0.0625,4.14169,1.24832
360,15,24,703,0.000670433,0.0140381,0.0133677,4,0.0625,4.22172,0.826368
370,16,10,711,0.000678062,0.0145264,0.0138483,4,0.0625,4.19849,1.07213
380,16,20,749,0.000714302,0.0184937,0.0177794,4,0.0625,4.42351,1.10387
390,17,6,897,0.000855446,0.0180054,0.0171499,4,0.0625,4.21203,1.05267
