iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,5,4.76837e-06,0.00012207,0.000117302,4,0.0625,4.11339,0.509952
20,1,20,20,1.90735e-05,0.000488281,0.000469208,4,0.0625,4.26615,0.519168
30,2,6,33,3.14713e-05,0.00158691,0.00155544,4,0.0625,6.30296,0.571392
40,2,16,43,4.1008e-05,0.00201416,0.00197315,3,0.046875,6.24881,0.8704
50,3,2,52,4.95911e-05,0.0020752,0.0020256,3,0.046875,5.49933,0.59392
60,3,12,47,4.48227e-05,0.00140381,0.00135899,3,0.046875,4.78563,0.658432
70,3,22,64,6.10352e-05,0.00201416,0.00195312,4,0.0625,5.10514,0.62464
80,4,8,33,3.14713e-05,0.0012207,0.00118923,3,0.046875,5.31116,0.91136
90,4,18,38,3.62396e-05,0.00109863,0.00106239,3,0.046875,4.75173,0.535552
100,5,4,40,3.8147e-05,0.00140381,0.00136566,3,0.046875,5.24976,0.759808
110,5,14,51,4.86374e-05,0.00170898,0.00166035,3,0.046875,5.12718,0.540672
120,5,24,82,7.82013e-05,0.00244141,0.0023632,3,0.046875,4.85354,0.60416
130,6,10,138,0.000131607,0.00360107,0.00346947,3,0.046875,4.75378,0.896
140,6,20,188,0.000179291,0.00622559,0.0060463,3,0.046875,5.04605,0.657408
150,7,6,248,0.000236511,0.00769043,0.00745392,4,0.0625,4.95988,0.695296
160,7,16,354,0.000337601,0.00976562,0.00942802,4,0.0625,4.89306,1.01478
170,8,2,366,0.000349045,0.0117188,0.0113697,4,0.0625,5.01071,0.815072
180,8,12,419,0.00039959,0.013855,0.0134554,4,0.0625,4.94403,0.667648
190,8,22,445,0.000424385,0.0164795,0.0160551,4,0.0625,5.16762,1.07622
200,9,8,470,0.000448227,0.0182495,0.0178013,4,0.0625,5.33552,1.14586
210,9,18,511,0.000487328,0.0195923,0.019105,4,0.0625,5.27305,0.869376
220,10,4,604,0.000576019,0.0227661,0.0221901,4,0.0625,5.33368,1.13664
230,10,14,618,0.000589371,0.0236206,0.0230312,4,0.0625,5.37257,1.15712
240,10,24,654,0.000623703,0.0247192,0.0240955,4,0.0625,5.32995,1.08954
250,11,10,701,0.000668526,0.024292,0.0236235,4,0.0625,5.08474,0.937984
260,11,20,829,0.000790596,0.0296631,0.0288725,4,0.0625,5.12172,1.25645
270,12,6,935,0.000891685,0.0338745,0.0329828,4,0.0625,5.16631,1.52678
280,12,16,939,0.0008955,0.0339355,0.03304,4,0.0625,5.12692,0.92768
290,13,2,909,0.00086689,0.0344849,0.033618,4,0.0625,5.23871,1.01376
300,13,12,937,0.000893593,0.034729,0.0338354,4,0.0625,5.13635,0.937984
310,13,22,953,0.000908852,0.0346069,0.0336981,4,0.0625,5.13617,1.01171
320,14,8,1118,0.00106621,0.0411987,0.0401325,4,0.0625,5.21209,1.0455
330,14,18,1110,0.00105858,0.0409546,0.039896,4,0.0625,5.22435,1.45408
340,15,4,1055,0.00100613,0.039856,0.0388498,4,0.0625,5.21307,1.24928
350,15,14,1072,0.00102234,0.0383911,0.0373688,4,0.0625,5.03314,1.27795
360,15,24,1194,0.00113869,0.0369873,0.0358486,4,0.0625,4.70334,1.38035
370,16,10,1083,0.00103283,0.0309448,0.029912,4,0.0625,4.54949,1.24518
380,16,20,1242,0.00118446,0.0333252,0.0321407,4,0.0625,4.46345,1.03526
390,17,6,1244,0.00118637,0.0353394,0.034153,4,0.0625,4.49411,1.53805
