validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
LOSO,increment,20,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,N,0.05626714323450699,0.20846923451365143,0.27432783107010394,5.845885212740739,6.6231376759748315
LOSO,increment,20,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,N+H,0.05659747641240542,0.20864948061579888,0.2742798156201724,5.764477938275805,6.639481377013822
LOSO,increment,20,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,Spatial,0.05855197716578375,0.20865623443641665,0.2739955477505348,5.761427608076334,6.736241671522584
LOSO,increment,20,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,Persistence,-0.09535993134586174,0.2324384469273743,0.3164485273242685,0.0,0.0
LOSO,increment,20,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,N,0.05705400378703818,0.22098383584004458,0.2936081213414398,4.928019111618284,7.217731798582153
LOSO,increment,20,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,N+H,0.05786791399042435,0.22083473546982588,0.2934813790697372,4.9921652854504,7.257783263752267
LOSO,increment,20,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,Spatial,0.05996130734274974,0.22101015844602792,0.2931551436954828,4.916694562546776,7.360875977443462
LOSO,increment,20,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,Persistence,-0.10366222757343468,0.24921087150837987,0.32397877375400824,0.0,0.0
LOSO,increment,20,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,N,0.08103479881797027,0.22911270505305478,0.29562965783463163,8.064722992892897,8.75030039495786
LOSO,increment,20,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,N+H,0.08211663385512125,0.22921031779492848,0.29545559427748663,8.025554259489379,8.80402723487644
LOSO,increment,20,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,Spatial,0.08216273655844974,0.22948508128064907,0.29544817423200137,7.915300848770358,8.806317522415739
LOSO,increment,20,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,Persistence,-0.0837157606224912,0.22556016759776537,0.3012689365070137,0.0,0.0
LOSO,increment,20,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,N,0.041686952248491616,0.21031151317786453,0.2833024695569997,6.760348949151918,5.963597561143082
