iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,14,1.33514e-05,0.000427246,0.000413895,4,0.0625,4.53332,0.543744
20,1,20,32,3.05176e-05,0.000793457,0.000762939,4,0.0625,4.43001,0.571392
30,2,6,33,3.14713e-05,0.000854492,0.000823021,4,0.0625,4.59958,0.586752
40,2,16,41,3.91006e-05,0.00152588,0.00148678,4,0.0625,5.12073,0.592896
50,3,2,68,6.48499e-05,0.00238037,0.00231552,4,0.0625,4.93242,0.618496
60,3,12,39,3.71933e-05,0.00189209,0.0018549,4,0.0625,6.36636,0.548864
70,3,22,40,3.8147e-05,0.00189209,0.00185394,3,0.046875,6.26418,0.638976
80,4,8,48,4.57764e-05,0.00256348,0.0025177,3,0.046875,6.98013,0.928768
90,4,18,109,0.000103951,0.00543213,0.00532818,4,0.0625,6.57664,1.11821
100,5,4,115,0.000109673,0.00445557,0.00434589,4,0.0625,5.5112,0.99328
110,5,14,130,0.000123978,0.00561523,0.00549126,3,0.046875,5.86521,0.607232
120,5,24,188,0.000179291,0.00830078,0.00812149,4,0.0625,5.88308,1.25952
130,6,10,234,0.00022316,0.010498,0.0102749,4,0.0625,5.97601,0.657408
140,6,20,339,0.000323296,0.0167236,0.0164003,3,0.046875,6.56443,0.82432
150,7,6,390,0.000371933,0.0178833,0.0175114,4,0.0625,6.16728,0.739328
160,7,16,431,0.000411034,0.0177612,0.0173502,4,0.0625,5.67856,0.735232
170,8,2,439,0.000418663,0.0175781,0.0171595,4,0.0625,5.48509,0.888832
180,8,12,533,0.000508308,0.0172729,0.0167646,4,0.0625,4.72407,1.25338
190,8,22,570,0.000543594,0.017395,0.0168514,4,0.0625,4.61294,0.961536
200,9,8,576,0.000549316,0.0176392,0.0170898,4,0.0625,4.62177,0.771072
210,9,18,596,0.00056839,0.019165,0.0185966,4,0.0625,4.73191,0.867328
220,10,4,660,0.000629425,0.017334,0.0167046,4,0.0625,4.28511,0.939008
230,10,14,663,0.000632286,0.0215454,0.0209131,4,0.0625,4.72322,1.36192
240,10,24,555,0.000529289,0.017395,0.0168657,4,0.0625,4.6717,0.806912
250,11,10,541,0.000515938,0.0150757,0.0145597,4,0.0625,4.38805,1.15814
260,11,20,659,0.000628471,0.017334,0.0167055,4,0.0625,4.34604,1.25542
270,12,6,519,0.000494957,0.0134277,0.0129328,4,0.0625,4.42999,0.95232
280,12,16,598,0.000570297,0.0131836,0.0126133,4,0.0625,4.24804,0.919552
290,13,2,571,0.000544548,0.0119629,0.0114183,4,0.0625,4.14793,0.86016
300,13,12,667,0.000636101,0.0128784,0.0122423,4,0.0625,4.064,1.40186
310,13,22,762,0.0007267,0.0145874,0.0138607,4,0.0625,4.00788,1.2247
320,14,8,825,0.000786781,0.0150757,0.0142889,4,0.0625,4.01296,0.830464
330,14,18,970,0.000925064,0.0222168,0.0212917,4,0.0625,4.05948,1.03834
340,15,4,1032,0.000984192,0.0205078,0.0195236,4,0.0625,4.04212,1.07315
350,15,14,1050,0.00100136,0.0204468,0.0194454,4,0.0625,3.94225,0.9472
360,15,24,1073,0.00102329,0.0188599,0.0178366,4,0.0625,3.95577,1.47763
370,16,10,1132,0.00107956,0.0220337,0.0209541,4,0.0625,3.9427,1.15917
380,16,20,1182,0.00112724,0.0229492,0.021822,4,0.0625,4.01793,1.21549
390,17,6,1232,0.00117493,0.0252686,0.0240936,4,0.0625,3.99935,1.25338
400,17,16,1466,0.00139809,0.0288086,0.0274105,4,0.0625,3.99174,1.26771
410,18,2,1414,0.0013485,0.0327759,0.0314274,4,0.0625,4.12032,1.33427
420,18,12,1528,0.00145721,0.0391235,0.0376663,4,0.0625,4.18613,1.0281
430,18,22,1582,0.00150871,0.0383911,0.0368824,4,0.0625,4.13913,0.869376
440,19,8,1652,0.00157547,0.0405884,0.0390129,4,0.0625,4.16783,1.28512
450,19,18,1795,0.00171185,0.0458984,0.0441866,4,0.0625,4.26837,1.42851
460,20,4,1762,0.00168037,0.041748,0.0400677,4,0.0625,4.2136,1.56672
470,20,14,1876,0.00178909,0.043457,0.0416679,4,0.0625,4.25144,1.43568
480,20,24,1716,0.00163651,0.0356445,0.034008,4,0.0625,4.12631,1.04038
490,21,10,1716,0.00163651,0.0375366,0.0359001,4,0.0625,4.11385,1.09158
500,21,20,1662,0.00158501,0.0374146,0.0358295,4,0.0625,4.13848,1.00045
510,22,6,1846,0.00176048,0.0386353,0.0368748,4,0.0625,4.08247,1.02195
520,22,16,1846,0.00176048,0.0410156,0.0392551,4,0.0625,4.1065,0.94208
530,23,2,2048,0.00195312,0.0472412,0.0452881,4,0.0625,4.17126,1.09158
540,23,12,2186,0.00208473,0.0561523,0.0540676,4,0.0625,4.25544,1.54214
550,23,22,2005,0.00191212,0.0508423,0.0489302,4,0.0625,4.23159,1.35066
560,24,8,2121,0.00202274,0.0560303,0.0540075,4,0.0625,4.35576,1.16326
570,24,18,2103,0.00200558,0.0491943,0.0471888,4,0.0625,4.21866,1.32403
580,25,4,2173,0.00207233,0.0490112,0.0469389,4,0.0625,4.26056,1.46534
590,25,14,2178,0.0020771,0.0544434,0.0523663,4,0.0625,4.39343,1.41107
600,25,24,2457,0.00234318,0.0627441,0.060401,4,0.0625,4.33202,1.52986
610,26,10,2623,0.00250149,0.0578613,0.0553598,4,0.0625,4.25429,1.65376
620,26,20,2800,0.00267029,0.0631104,0.0604401,4,0.0625,4.26282,1.66298
630,27,6,2745,0.00261784,0.0610962,0.0584784,4,0.0625,4.30138,1.44691
640,27,16,2672,0.00254822,0.0581665,0.0556183,4,0.0625,4.2686,1.12742
650,28,2,2828,0.00269699,0.0613403,0.0586433,4,0.0625,4.26604,1.42746
660,28,12,2824,0.00269318,0.06073,0.0580368,4,0.0625,4.19956,1.52883
