iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,21,2.00272e-05,0.000549316,0.000529289,4,0.0625,4.31183,0.717824
20,1,20,42,4.00543e-05,0.0010376,0.000997543,3,0.046875,4.65962,0.648192
30,2,6,37,3.52859e-05,0.00128174,0.00124645,4,0.0625,5.02259,0.668672
40,2,16,32,3.05176e-05,0.000854492,0.000823975,3,0.046875,4.63681,0.541696
50,3,2,32,3.05176e-05,0.000793457,0.000762939,4,0.0625,4.56892,0.694272
60,3,12,78,7.43866e-05,0.00292969,0.0028553,4,0.0625,5.25278,0.984064
70,3,22,85,8.10623e-05,0.0032959,0.00321484,4,0.0625,5.44917,0.87552
80,4,8,96,9.15527e-05,0.00299072,0.00289917,3,0.046875,4.95956,0.57344
90,4,18,139,0.000132561,0.00427246,0.0041399,4,0.0625,4.6966,0.93696
100,5,4,129,0.000123024,0.00323486,0.00311184,4,0.0625,4.40135,1.04448
110,5,14,130,0.000123978,0.00262451,0.00250053,4,0.0625,4.15279,0.93184
120,5,24,124,0.000118256,0.00354004,0.00342178,4,0.0625,4.61719,0.893952
130,6,10,202,0.000192642,0.00579834,0.0056057,4,0.0625,4.68842,1.34349
140,6,20,246,0.000234604,0.00598145,0.00574684,4,0.0625,4.20663,1.32096
150,7,6,289,0.000275612,0.0067749,0.00649929,4,0.0625,4.24424,1.26566
160,7,16,265,0.000252724,0.0065918,0.00633907,4,0.0625,4.34484,1.35578
170,8,2,229,0.000218391,0.00634766,0.00612926,4,0.0625,4.41194,0.67072
180,8,12,223,0.000212669,0.00561523,0.00540257,4,0.0625,4.26287,1.23904
190,8,22,215,0.00020504,0.00531006,0.00510502,4,0.0625,4.47607,0.948224
200,9,8,260,0.000247955,0.00653076,0.00628281,4,0.0625,4.45695,0.894976
210,9,18,246,0.000234604,0.00610352,0.00586891,4,0.0625,4.26158,1.23494
220,10,4,277,0.000264168,0.00634766,0.00608349,4,0.0625,4.34694,0.852992
230,10,14,300,0.000286102,0.00653076,0.00624466,4,0.0625,4.30877,1.06291
240,10,24,301,0.000287056,0.00787354,0.00758648,4,0.0625,4.29541,0.652288
250,11,10,302,0.00028801,0.00994873,0.00966072,4,0.0625,4.72957,0.60928
