iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
10,1,10,10,9.53674e-06,0.000244141,0.000234604,3,0.046875,4.69468,0.520192
20,1,20,4,3.8147e-06,0.00012207,0.000118256,2,0.03125,5.56776,0.919552
30,2,6,25,2.38419e-05,0.000793457,0.000769615,3,0.046875,5.05189,0.54784
40,2,16,45,4.29153e-05,0.00152588,0.00148296,3,0.046875,5.10739,1.14282
50,3,2,96,9.15527e-05,0.00311279,0.00302124,4,0.0625,4.77115,0.636864
60,3,12,66,6.29425e-05,0.00189209,0.00182915,4,0.0625,4.45681,0.569344
70,3,22,52,4.95911e-05,0.00140381,0.00135422,4,0.0625,4.56317,0.59904
80,4,8,102,9.72748e-05,0.0020752,0.00197792,4,0.0625,4.33821,0.72704
90,4,18,133,0.000126839,0.00268555,0.00255871,4,0.0625,4.22794,0.95232
100,5,4,135,0.000128746,0.0032959,0.00316715,4,0.0625,4.34344,0.935936
110,5,14,188,0.000179291,0.00476074,0.00458145,4,0.0625,4.32826,1.0496
120,5,24,203,0.000193596,0.00469971,0.00450611,4,0.0625,4.19017,0.74752
130,6,10,258,0.000246048,0.00604248,0.00579643,4,0.0625,4.16774,1.77466
140,6,20,276,0.000263214,0.00622559,0.00596237,4,0.0625,4.08601,1.98554
150,7,6,328,0.000312805,0.00653076,0.00621796,4,0.0625,4.04327,1.12845
160,7,16,388,0.000370026,0.00732422,0.00695419,4,0.0625,3.98327,1.00653
170,8,2,441,0.00042057,0.0101929,0.0097723,4,0.0625,4.11197,0.866304
180,8,12,519,0.000494957,0.0115967,0.0111017,4,0.0625,4.06645,0.996352
190,8,22,527,0.000502586,0.0130005,0.0124979,4,0.0625,4.21108,1.37523
200,9,8,546,0.000520706,0.0145264,0.0140057,4,0.0625,4.37328,0.969728
210,9,18,665,0.000634193,0.0165405,0.0159063,4,0.0625,4.30585,0.940032
220,10,4,682,0.000650406,0.0137329,0.0130825,4,0.0625,4.0752,0.900096
230,10,14,698,0.000665665,0.0160522,0.0153866,4,0.0625,4.33131,0.9472
240,10,24,780,0.000743866,0.0188599,0.018116,4,0.0625,4.44314,1.13661
250,11,10,835,0.000796318,0.0198364,0.0190401,4,0.0625,4.46345,1.42643
260,11,20,813,0.000775337,0.0184937,0.0177183,4,0.0625,4.27513,1.36499
270,12,6,896,0.000854492,0.022522,0.0216675,4,0.0625,4.18829,1.05267
280,12,16,924,0.000881195,0.0222778,0.0213966,4,0.0625,4.13637,1.04448
290,13,2,907,0.000864983,0.0231323,0.0222673,4,0.0625,4.22595,1.06598
300,13,12,872,0.000831604,0.0217896,0.0209579,4,0.0625,4.16296,1.53395
310,13,22,805,0.000767708,0.0211182,0.0203505,4,0.0625,4.24553,0.851968
320,14,8,832,0.000793457,0.0201416,0.0193481,4,0.0625,4.15867,1.02605
330,14,18,762,0.0007267,0.0170288,0.0163021,4,0.0625,4.15867,0.821248
340,15,4,836,0.000797272,0.019104,0.0183067,4,0.0625,4.08983,0.697344
350,15,14,802,0.000764847,0.0164185,0.0156536,4,0.0625,4.11256,0.75264
360,15,24,877,0.000836372,0.0202026,0.0193663,4,0.0625,4.24444,1.22573
370,16,10,892,0.000850677,0.0203247,0.019474,4,0.0625,4.27775,1.03117
380,16,20,858,0.000818253,0.0206299,0.0198116,4,0.0625,4.25808,2.03674
390,17,6,1060,0.00101089,0.0232544,0.0222435,4,0.0625,4.22981,0.825344
400,17,16,1179,0.00112438,0.0256958,0.0245714,4,0.0625,4.23322,1.06394
410,18,2,1275,0.00121593,0.0305176,0.0293016,4,0.0625,4.38417,1.02298
420,18,12,1413,0.00134754,0.0341187,0.0327711,4,0.0625,4.31221,1.02195
430,18,22,1511,0.001441,0.038147,0.036706,4,0.0625,4.39696,1.08438
440,19,8,1802,0.00171852,0.0477295,0.046011,4,0.0625,4.39433,1.02298
450,19,18,1877,0.00179005,0.0525513,0.0507612,4,0.0625,4.48939,1.39162
460,20,4,1978,0.00188637,0.0516968,0.0498104,4,0.0625,4.46024,1.39571
470,20,14,2150,0.0020504,0.0529175,0.0508671,4,0.0625,4.48198,1.47763
480,20,24,1993,0.00190067,0.0490112,0.0471106,4,0.0625,4.40745,1.39162
490,21,10,2086,0.00198936,0.0502319,0.0482426,4,0.0625,4.45159,1.27795
500,21,20,2240,0.00213623,0.0560913,0.0539551,4,0.0625,4.48471,1.36704
510,22,6,2462,0.00234795,0.0567627,0.0544147,4,0.0625,4.3136,1.47149
520,22,16,2516,0.00239944,0.0641479,0.0617485,4,0.0625,4.36757,1.02707
530,23,2,2657,0.00253391,0.0687866,0.0662527,4,0.0625,4.38146,2.05926
540,23,12,2581,0.00246143,0.0657959,0.0633345,4,0.0625,4.35716,1.54317
550,23,22,2655,0.00253201,0.0637817,0.0612497,4,0.0625,4.29288,1.47866
560,24,8,2697,0.00257206,0.0640259,0.0614538,4,0.0625,4.32114,1.49914
570,24,18,2769,0.00264072,0.0598755,0.0572348,4,0.0625,4.22089,1.69882
580,25,4,2949,0.00281239,0.0648193,0.062007,4,0.0625,4.25205,1.56467
590,25,14,2963,0.00282574,0.0643311,0.0615053,4,0.0625,4.17046,1.29229
600,25,24,3156,0.0030098,0.0734253,0.0704155,4,0.0625,4.21356,1.21645
610,26,10,3203,0.00305462,0.0786133,0.0755587,4,0.0625,4.28651,2.34189
620,26,20,3241,0.00309086,0.081604,0.0785131,4,0.0625,4.31915,1.14483
630,27,6,3442,0.00328255,0.0846558,0.0813732,4,0.0625,4.32129,1.87802
640,27,16,3494,0.00333214,0.0845947,0.0812626,4,0.0625,4.30577,1.23085
650,28,2,3688,0.00351715,0.0881348,0.0846176,4,0.0625,4.25965,1.63942
660,28,12,3742,0.00356865,0.0858765,0.0823078,4,0.0625,4.22465,1.2585
670,28,22,3966,0.00378227,0.0917358,0.0879536,4,0.0625,4.21515,1.29331
680,29,8,3802,0.00362587,0.0831909,0.079565,4,0.0625,4.20517,1.30253
690,29,18,3849,0.00367069,0.0794067,0.075736,4,0.0625,4.14429,1.27072
700,30,4,4060,0.00387192,0.0855103,0.0816383,4,0.0625,4.14868,1.67424
710,30,14,4004,0.00381851,0.0848389,0.0810204,4,0.0625,4.13157,1.27283
720,30,24,4243,0.00404644,0.0953979,0.0913515,4,0.0625,4.18085,1.04038
730,31,10,4563,0.00435162,0.10144,0.0970888,4,0.0625,4.19323,1.29946
740,31,20,4767,0.00454617,0.100952,0.096406,4,0.0625,4.17232,2.27942
750,32,6,5003,0.00477123,0.105164,0.100392,4,0.0625,4.14294,1.40698
760,32,16,5052,0.00481796,0.107544,0.102726,4,0.0625,4.17707,2.15962
770,33,2,5182,0.00494194,0.108948,0.104006,4,0.0625,4.17603,1.58822
780,33,12,5063,0.00482845,0.103516,0.0986872,4,0.0625,4.11929,1.6087
790,33,22,5056,0.00482178,0.102661,0.0978394,4,0.0625,4.10023,1.54726
800,34,8,5306,0.0050602,0.114563,0.109503,4,0.0625,4.11937,1.3353
810,34,18,5383,0.00513363,0.116455,0.111321,4,0.0625,4.07668,1.24314
820,35,4,5320,0.00507355,0.118286,0.113213,4,0.0625,4.09405,1.48893
830,35,14,5794,0.00552559,0.131226,0.1257,4,0.0625,4.10294,1.34246
840,35,24,5665,0.00540257,0.122253,0.116851,5,0.078125,4.07791,1.19603
850,36,10,6079,0.00579739,0.129333,0.123536,4,0.0625,4.06784,2.33779
860,36,20,6195,0.00590801,0.130005,0.124097,5,0.078125,4.05332,1.79507
870,37,6,6478,0.0061779,0.139954,0.133776,5,0.078125,4.06872,1.32608
880,37,16,6502,0.00620079,0.137146,0.130945,5,0.078125,4.06355,1.87085
890,38,2,6590,0.00628471,0.136047,0.129763,5,0.078125,4.0597,1.61997
900,38,12,6708,0.00639725,0.134705,0.128307,5,0.078125,4.03687,1.65274
910,38,22,6761,0.00644779,0.135376,0.128928,5,0.078125,4.04214,1.71213
920,39,8,6930,0.00660896,0.138855,0.132246,5,0.078125,4.02804,1.73773
930,39,18,7405,0.00706196,0.146973,0.139911,5,0.078125,4.0309,1.7367
940,40,4,7294,0.0069561,0.147705,0.140749,5,0.078125,4.02185,1.74797
950,40,14,7364,0.00702286,0.147827,0.140804,6,0.09375,4.03097,1.81658
960,40,24,7259,0.00692272,0.145813,0.13889,6,0.09375,4.01346,1.79917
970,41,10,7457,0.00711155,0.144714,0.137603,5,0.078125,3.97732,1.58925
980,41,20,7876,0.00751114,0.152344,0.144833,5,0.078125,3.9371,1.93946
990,42,6,8413,0.00802326,0.156921,0.148898,5,0.078125,3.91308,2.0736
1000,42,16,8466,0.00807381,0.154419,0.146345,6,0.09375,3.87429,1.4889
1010,43,2,8454,0.00806236,0.154419,0.146357,5,0.078125,3.86081,1.82579
1020,43,12,8896,0.00848389,0.159668,0.151184,5,0.078125,3.84149,1.5063
1030,43,22,9578,0.00913429,0.173645,0.164511,6,0.09375,3.81031,1.72646
1040,44,8,9719,0.00926876,0.175171,0.165902,6,0.09375,3.78852,1.75718
1050,44,18,10100,0.00963211,0.182861,0.173229,6,0.09375,3.79386,1.98246
1060,45,4,10395,0.00991344,0.185669,0.175756,6,0.09375,3.78602,1.96608
1070,45,14,11247,0.010726,0.19873,0.188004,6,0.09375,3.77417,2.10432
1080,45,24,11455,0.0109243,0.195984,0.18506,6,0.09375,3.7498,2.05414
1090,46,10,11631,0.0110922,0.203735,0.192643,6,0.09375,3.76626,2.44429
1100,46,20,12128,0.0115662,0.215149,0.203583,6,0.09375,3.78079,2.36749
1110,47,6,12206,0.0116405,0.226624,0.214983,6,0.09375,3.78295,2.1463
1120,47,16,12279,0.0117102,0.219238,0.207528,6,0.09375,3.76802,2.05722
1130,48,2,13068,0.0124626,0.21991,0.207447,6,0.09375,3.74225,2.17293
1140,48,12,13020,0.0124168,0.217163,0.204746,6,0.09375,3.7246,2.23034
1150,48,22,13491,0.012866,0.228333,0.215466,6,0.09375,3.72116,2.20365
1160,49,8,13637,0.0130053,0.246277,0.233272,6,0.09375,3.71847,2.15962
1170,49,18,13676,0.0130424,0.234497,0.221455,6,0.09375,3.68446,2.06746
1180,50,4,14160,0.013504,0.254395,0.240891,6,0.09375,3.68541,2.21594
1190,50,14,14388,0.0137215,0.263123,0.249401,6,0.09375,3.70577,2.11149
1200,50,24,14277,0.0136156,0.257507,0.243892,7,0.109375,3.71197,1.87187
1210,51,10,14666,0.0139866,0.264526,0.25054,7,0.109375,3.68951,2.52109
1220,51,20,14349,0.0136843,0.254395,0.24071,7,0.109375,3.69726,2.09312
1230,52,6,14753,0.0140696,0.247742,0.233672,7,0.109375,3.68422,2.03261
1240,52,16,14898,0.0142078,0.257263,0.243055,7,0.109375,3.65121,2.16064
1250,53,2,15062,0.0143642,0.255249,0.240885,6,0.09375,3.62226,2.26304
1260,53,12,15065,0.0143671,0.253601,0.239234,7,0.109375,3.61066,2.27123
1270,53,22,15335,0.0146246,0.257812,0.243188,6,0.09375,3.58869,1.87597
1280,54,8,15912,0.0151749,0.280823,0.265648,7,0.109375,3.60765,2.14733
1290,54,18,16232,0.01548,0.273071,0.257591,7,0.109375,3.597,2.34086
1300,55,4,16252,0.0154991,0.275635,0.260136,8,0.125,3.61453,2.16992
1310,55,14,16290,0.0155354,0.275391,0.259855,8,0.125,3.61379,2.26816
1320,55,24,15635,0.0149107,0.26532,0.250409,9,0.140625,3.59649,1.83194
1330,56,10,15708,0.0149803,0.26709,0.25211,10,0.15625,3.59911,2.62656
1340,56,20,16270,0.0155163,0.270935,0.255419,11,0.171875,3.56626,2.432
1350,57,6,16418,0.0156574,0.260681,0.245024,10,0.15625,3.54292,2.19238
1360,57,16,17068,0.0162773,0.266785,0.250507,10,0.15625,3.52904,2.24771
1370,58,2,16936,0.0161514,0.253906,0.237755,10,0.15625,3.50364,2.25178
1380,58,12,17309,0.0165071,0.269226,0.252719,11,0.171875,3.49108,2.19546
1390,58,22,17232,0.0164337,0.250244,0.23381,11,0.171875,3.48644,2.20979
1400,59,8,17084,0.0162926,0.262146,0.245853,10,0.15625,3.49336,2.20979
1410,59,18,18101,0.0172625,0.275391,0.258128,11,0.171875,3.45031,2.36442
1420,60,4,18558,0.0176983,0.284973,0.267275,11,0.171875,3.44779,2.4361
1430,60,14,19239,0.0183477,0.29071,0.272363,11,0.171875,3.42985,2.35827
1440,60,24,19049,0.0181665,0.284302,0.266135,11,0.171875,3.40615,2.34598
1450,61,10,19303,0.0184088,0.289795,0.271386,11,0.171875,3.38962,2.63168
1460,61,20,19902,0.01898,0.295227,0.276247,11,0.171875,3.36283,2.39616
1470,62,6,20168,0.0192337,0.293945,0.274712,11,0.171875,3.35801,2.87946
1480,62,16,20005,0.0190783,0.297363,0.278285,11,0.171875,3.35782,2.3593
1490,63,2,20170,0.0192356,0.289734,0.270498,12,0.1875,3.35915,2.76582
1500,63,12,20522,0.0195713,0.296875,0.277304,12,0.1875,3.3291,2.57638
1510,63,22,20750,0.0197887,0.294495,0.274706,12,0.1875,3.28428,2.61533
1520,64,8,21117,0.0201387,0.30127,0.281131,12,0.1875,3.30466,2.49754
1530,64,18,21734,0.0207272,0.304016,0.283289,12,0.1875,3.30203,2.60813
1540,65,4,22443,0.0214033,0.306519,0.285115,12,0.1875,3.26531,2.55795
1550,65,14,22268,0.0212364,0.307007,0.28577,12,0.1875,3.22699,2.70749
1560,65,24,22628,0.0215797,0.317017,0.295437,12,0.1875,3.21416,2.63782
1570,66,10,22673,0.0216227,0.298645,0.277022,12,0.1875,3.18555,2.98394
1580,66,20,23090,0.0220203,0.294067,0.272047,12,0.1875,3.16565,2.50982
1590,67,6,23295,0.0222158,0.2948,0.272584,12,0.1875,3.13454,2.46477
1600,67,16,23620,0.0225258,0.30304,0.280514,13,0.203125,3.11848,2.45555
1610,68,2,24474,0.0233402,0.315735,0.292395,12,0.1875,3.13437,2.77606
1620,68,12,24088,0.0229721,0.302734,0.279762,12,0.1875,3.11882,2.79962
1630,68,22,24340,0.0232124,0.308838,0.285625,11,0.171875,3.09802,2.58765
1640,69,8,25063,0.0239019,0.313904,0.290002,12,0.1875,3.1015,2.84774
1650,69,18,25520,0.0243378,0.323975,0.299637,13,0.203125,3.08831,2.67776
1660,70,4,25981,0.0247774,0.325684,0.300906,12,0.1875,3.041,2.61427
1670,70,14,26892,0.0256462,0.329712,0.304066,13,0.203125,3.00811,2.85901
1680,70,24,27513,0.0262384,0.342224,0.315986,13,0.203125,2.99651,3.05254
1690,71,10,27964,0.0266685,0.332642,0.305973,13,0.203125,2.97584,2.80576
1700,71,20,28116,0.0268135,0.32959,0.302776,13,0.203125,2.95715,2.98496
1710,72,6,28936,0.0275955,0.345886,0.318291,13,0.203125,2.92803,2.94912
1720,72,16,29354,0.0279942,0.338013,0.310019,13,0.203125,2.90655,2.81907
1730,73,2,29913,0.0285273,0.349304,0.320777,13,0.203125,2.87874,2.99827
1740,73,12,30606,0.0291882,0.36145,0.332262,13,0.203125,2.86637,3.71712
1750,73,22,30996,0.0295601,0.347168,0.317608,13,0.203125,2.83028,3.00544
1760,74,8,31767,0.0302954,0.369263,0.338967,13,0.203125,2.8222,3.1744
1770,74,18,32902,0.0313778,0.368286,0.336908,13,0.203125,2.8213,3.1529
1780,75,4,33606,0.0320492,0.377808,0.345758,13,0.203125,2.79289,3.26554
1790,75,14,33717,0.032155,0.372375,0.34022,13,0.203125,2.79249,3.22253
1800,75,24,33309,0.0317659,0.358154,0.326388,13,0.203125,2.766,3.30445
1810,76,10,33761,0.032197,0.355957,0.32376,14,0.21875,2.7534,3.31776
1820,76,20,33645,0.0320864,0.357605,0.325519,14,0.21875,2.73449,3.64851
1830,77,6,33625,0.0320673,0.361755,0.329688,14,0.21875,2.70158,3.11091
1840,77,16,34543,0.0329428,0.363892,0.330949,14,0.21875,2.68812,3.6137
1850,78,2,34988,0.0333672,0.369019,0.335651,15,0.234375,2.70765,3.27168
1860,78,12,34629,0.0330248,0.364258,0.331233,15,0.234375,2.69367,3.71712
1870,78,22,35317,0.0336809,0.363892,0.330211,15,0.234375,2.69166,3.76013
1880,79,8,35481,0.0338373,0.369995,0.336158,14,0.21875,2.66311,3.23482
1890,79,18,36504,0.0348129,0.368286,0.333473,14,0.21875,2.64875,3.81542
1900,80,4,36349,0.0346651,0.367798,0.333133,15,0.234375,2.65211,3.88506
1910,80,14,36582,0.0348873,0.355896,0.321009,15,0.234375,2.61206,3.83488
1920,80,24,36942,0.0352306,0.359314,0.324083,17,0.265625,2.59466,3.92602
1930,81,10,37765,0.0360155,0.393127,0.357112,17,0.265625,2.59596,3.71814
1940,81,20,38326,0.0365505,0.391968,0.355417,17,0.265625,2.60793,3.71098
1950,82,6,37372,0.0356407,0.364563,0.328922,17,0.265625,2.58164,3.82362
1960,82,16,37376,0.0356445,0.352966,0.317322,17,0.265625,2.5715,3.90451
1970,83,2,38584,0.0367966,0.372986,0.336189,17,0.265625,2.56647,3.8103
1980,83,12,39023,0.0372152,0.376038,0.338822,17,0.265625,2.54961,3.6096
1990,83,22,39446,0.0376186,0.363037,0.325418,18,0.28125,2.52176,4.16154
2000,84,8,39769,0.0379267,0.373291,0.335364,18,0.28125,2.50112,3.59424
2010,84,18,40506,0.0386295,0.371765,0.333136,18,0.28125,2.46814,3.69664
2020,85,4,40919,0.0390234,0.364807,0.325784,18,0.28125,2.45049,3.84
2030,85,14,40508,0.0386314,0.359802,0.321171,18,0.28125,2.44295,3.85955
2040,85,24,41452,0.0395317,0.372742,0.33321,18,0.28125,2.43291,4.08166
2050,86,10,41888,0.0399475,0.368164,0.328217,18,0.28125,2.39869,4.1728
