snapshot_file,day,iteration_end_of_day,simulated_hour_end_of_day,grid_size,grid_cells_total,tumour_cells,area_lattice,r_eff,centroid_row,centroid_col,centroid_offset_from_grid_center,bbox_height,bbox_width,bbox_area,rho_tumour_bbox,radius_gyration,max_radius_centroid,anisotropy,perimeter_4n,compactness,regions_axis,n_regions,active_regions,active_region_fraction,rho_global,rho_region_mean,rho_region_std,rho_max,hotspot_gap,hotspot_ratio,hotspot_excess_norm,regional_density_cv,regional_imbalance_linf,spatial_entropy,spatial_entropy_norm_all,spatial_entropy_norm_active,regional_hhi,hotspot_region_row,hotspot_region_col,ro_min,ro_mean,ro_median,ro_max,ro_std,ro_gt_10_fraction,d_tumour_cells_per_day,d_r_eff_per_day,d_rho_tumour_bbox_per_day,d_rho_max_per_day,d_hotspot_gap_per_day,d_hotspot_ratio_per_day,d_hotspot_excess_norm_per_day,d_active_region_fraction_per_day,d_spatial_entropy_norm_all_per_day,d_regional_hhi_per_day,d_regional_density_cv_per_day,d_regional_imbalance_linf_per_day,d_compactness_per_day,d_anisotropy_per_day,iteration_end_of_day_profile,tumor_cells,crm_ms,frm_ms,frm_crm_ratio,kernel_delta_ms,kernel_mean_ms
1dia.txt,1,24,24,1024,1048576,30,30,3.0901936161855166,510.7,508.43333333333334,3.1692971530679226,15,15,225,0.13333333333333333,5.3655278294766955,9.00431995087791,0.5659777284250523,84,0.053428446489622326,8,64,3,0.046875,2.86102294921875e-05,2.86102294921875e-05,0.0001447450170128187,0.0008544921875,0.0008258819580078125,29.866666666666667,28.866666666666667,5.059205031974446,28.866666666666667,0.9482980107415577,0.2280174728969524,0.8631780479091637,0.41555555555555557,3,3,10.0,3343.0,10.0,100000.0,17948.754302179303,0.03333333333333333,,,,,,,,,,,,,,,24,30,0.650653,0.931259,1.4312682797128422,0.2806059999999999,0.790956
5dia.txt,5,120,120,1024,1048576,202,202,8.018640596081465,507.019801980198,508.85643564356434,5.201981046029953,29,33,957,0.2110762800417973,9.114442197034444,17.304529621377046,0.2887220383634577,472,0.011394026788730577,8,64,4,0.0625,0.0001926422119140625,0.0001926422119140625,0.0008979521060863994,0.00604248046875,0.0058498382568359375,31.366336633663366,30.366336633663366,4.661242710849764,30.366336633663366,1.1603192179106767,0.27899779692131566,0.836993390763947,0.35511224389765705,3,3,10.0,1000.0,10.0,100000.0,9900.0,0.009900990099009901,43.0,1.2321117449739871,0.01943573667711599,0.0012969970703125,0.0012559890747070312,0.37491749174917466,0.37491749174917466,0.00390625,0.012745081006090814,-0.015110827914474628,-0.09949058028117053,0.37491749174917466,-0.010508604925222938,-0.06931392251539865,120,202,0.807324,1.056059,1.3080981117865935,0.248735,0.9316915
10dia.txt,10,240,240,1024,1048576,417,417,11.521077316754745,511.158273381295,504.71942446043164,6.789181226755133,40,57,2280,0.18289473684210528,15.14246705256913,36.91984555924106,0.45152178899791384,1010,0.005136924366422679,8,64,4,0.0625,0.00039768218994140625,0.00039768218994140625,0.0015966043318711401,0.00836181640625,0.007964134216308594,21.026378896882495,20.026378896882495,4.014774541717297,20.026378896882495,1.3510552962005826,0.32486012929922503,0.9745803878976751,0.2674752284503333,3,3,10.0,249.7841726618705,10.0,100000.0,4890.656701814318,0.002398081534772182,43.0,0.7004873441346561,-0.005636308639938403,0.0004638671875,0.00042285919189453123,-2.0679915473561743,-2.0679915473561743,0.0,0.009172466475581875,-0.017527403089464755,-0.12929363382649334,-2.0679915473561743,-0.0012514204844615796,0.032559950126891224,240,417,0.827068,1.624504,1.964172232512925,0.7974359999999999,1.225786
15dia.txt,15,360,360,1024,1048576,603,603,13.85427231466257,507.7213930348259,498.8805970149254,13.172972416921398,51,77,3927,0.15355233002291827,17.743828348730055,43.33873680403725,0.5392356724040542,1370,0.0040372537058226765,8,64,4,0.0625,0.0005750656127929688,0.0005750656127929688,0.0027410197559848367,0.0191650390625,0.01858997344970703,33.32669983416252,32.32669983416252,4.766446984496777,32.32669983416252,1.1512544588128335,0.2768181830884304,0.8304545492652912,0.3706096383752877,3,3,10.0,175.82089552238807,10.0,100000.0,4068.529804965392,0.001658374792703151,37.2,0.4666389995815649,-0.005868481363837402,0.00216064453125,0.0021251678466796876,2.4600641874560045,2.4600641874560045,0.0,-0.009608389242158922,0.020626881984990887,0.15033448855589598,2.4600641874560045,-0.00021993413212000046,0.017542776681228077,360,603,1.090266,2.325844,2.133281235955262,1.235578,1.708055
20dia.txt,20,480,480,1024,1048576,1210,1210,19.625365277680483,504.85619834710747,502.87603305785126,10.886363314819686,73,99,7227,0.167427701674277,26.885929581850554,53.30189719949211,0.3735155810827093,3032,0.001654005085092196,8,64,4,0.0625,0.0011539459228515625,0.0011539459228515625,0.005094238981423137,0.03497314453125,0.03381919860839844,30.307438016528927,29.307438016528927,4.414625400152684,29.307438016528927,1.2602444915746767,0.30302474638373655,0.9090742391512096,0.32013933474489453,3,3,10.0,92.63636363636364,10.0,100000.0,2873.3223333634114,0.0008264462809917355,121.4,1.1542185926035828,0.0027750743302717485,0.00316162109375,0.0030458450317382814,-0.6038523635267182,-0.6038523635267182,0.0,0.0052413126590612254,-0.010094060726078635,-0.07036431686881847,-0.6038523635267182,-0.0004766497241460961,-0.03314401826426898,480,1210,0.909243,1.645431,1.809671341984486,0.7361880000000001,1.2773370000000002
25dia.txt,25,600,600,1024,1048576,1679,1679,23.11800810845486,500.61882072662297,501.249553305539,14.94897052694119,134,109,14606,0.11495275914007942,37.60146869660495,74.71301263528257,0.2568417712068947,4454,0.0010635554435466075,8,64,4,0.0625,0.0016012191772460938,0.0016012191772460938,0.007067230852703661,0.048828125,0.047226905822753906,30.49434187016081,29.49434187016081,4.413656139728763,29.49434187016081,1.2626782156277725,0.30360993332078545,0.9108297999623564,0.3200056331213345,3,3,10.0,69.55330553901132,10.0,100000.0,2439.5057746693533,0.0005955926146515784,93.8,0.6985285661548751,-0.010494988506839517,0.00277099609375,0.002681541442871094,0.03738077072637651,0.03738077072637651,0.0,0.00011703738740977964,-2.6740324712004604e-05,-0.00019385208478421844,0.03738077072637651,-0.00011808992830911769,-0.02333476197516292,600,1679,0.847868,2.109621,2.488147919251582,1.261753,1.4787445
30dia.txt,30,720,720,1024,1048576,3314,3314,32.47890027099259,497.2118286059143,505.0220277610139,15.688083570527128,173,135,23355,0.1418968101049026,42.96056031986793,91.30046212886907,0.22494049958697013,7850,0.0006758075737918178,8,64,4,0.0625,0.0031604766845703125,0.0031604766845703125,0.013238085474106702,0.08349609375,0.08033561706542969,26.418829209414604,25.418829209414604,4.188635701296593,25.418829209414604,1.3112051340503035,0.3152781907470869,0.9458345722412607,0.2897604537215063,3,3,10.0,40.171997585998795,10.0,100000.0,1736.6599232969272,0.00030175015087507544,327.0,1.8721784325075461,0.0053888101929646355,0.00693359375,0.006621742248535156,-0.8151025321492412,-0.8151025321492412,0.0,0.0023336514852602907,-0.006049035879965648,-0.04500408768643407,-0.8151025321492412,-7.754957395095794e-05,-0.006380254323984919,720,3314,1.191514,3.706222,3.110514857567767,2.514708,2.448868
35dia.txt,35,840,840,1024,1048576,4967,4967,39.762359143728986,488.8713509160459,499.7141131467687,25.513974372525873,197,159,31323,0.1585735721354915,55.0006622466925,109.05266353380112,0.35867202893242384,12086,0.00042730585556615075,8,64,6,0.09375,0.004736900329589844,0.004736900329589844,0.020612293332425164,0.14068603515625,0.13594913482666016,29.70002013287699,28.70002013287699,4.3514306610310145,28.70002013287699,1.2820961635994315,0.3082789628612775,0.7155514931654291,0.3114835749650127,3,3,10.0,30.13086370042279,10.0,100000.0,1418.6189797588174,0.00020132876988121604,330.6,1.4566917745472794,0.0033353524061177807,0.01143798828125,0.011122703552246094,0.6562381846924772,0.6562381846924772,0.00625,-0.0013998455771618845,0.00434462424870129,0.032558991946884316,0.6562381846924772,-4.9700343645133415e-05,0.026746305869090742,840,4967,1.346041,3.787693,2.813950689466368,2.441652,2.566867
40dia.txt,40,960,960,1024,1048576,7268,7268,48.098609676203644,484.30255916345624,496.48706659328565,31.065880923156485,234,191,44694,0.16261690607240345,62.46262223726721,119.31532427774823,0.28938930068172486,17424,0.0003008354820627098,8,64,6,0.09375,0.006931304931640625,0.006931304931640625,0.02995707945209522,0.20477294921875,0.19784164428710938,29.543203082003302,28.543203082003302,4.32199704782061,28.543203082003302,1.3382203021493502,0.32177396558796634,0.7468749712961733,0.3074946637714074,3,3,10.0,23.757567418822234,10.0,100000.0,1172.78723370727,0.0001375894331315355,460.2,1.6672501064949317,0.0008086667873823894,0.0128173828125,0.012378501892089843,-0.03136341017473754,-0.03136341017473754,0.0,0.0026990005453377706,-0.0007977822387210676,-0.005886722642080855,-0.03136341017473754,-2.5294074700688193e-05,-0.013856545650139796,960,7268,1.294073,4.73956,3.662513629447489,3.445487,3.0168165
45dia.txt,45,1080,1080,1024,1048576,9838,9838,55.96009882296611,486.7703801585688,498.3587111201464,28.00442056043067,261,215,56115,0.17531854227924798,70.61023858888673,135.0315710047026,0.2957689881005429,22518,0.00024381310911651124,8,64,6,0.09375,0.009382247924804688,0.009382247924804688,0.03689269512874478,0.22479248046875,0.2154102325439453,23.959341329538525,22.959341329538525,3.9321807976538614,22.959341329538525,1.474605455303568,0.3545676629390449,0.8229929745753616,0.2572194660224649,3,3,10.0,20.16365114860744,10.0,100000.0,1008.0477064824796,0.00010164667615368977,514.0,1.5722978293524932,0.002540327241368906,0.00400390625,0.0035137176513671876,-1.1167723504929554,-1.1167723504929554,0.0,0.006558739470215713,-0.01005503954978849,-0.07796325003334977,-1.1167723504929554,-1.1404474589239711e-05,0.0012759374837636116,1080,9838,1.603512,5.60522,3.495589680650971,4.001708,3.604366
